,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
,"Computing Bid Prices for Revenue Management Under Customer Choice Behavior","Chaneton, Juan M. and Vulcano, Gustavo","M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT","13","4","452-470","2011","FAL","Stochastic Gradient Methods;Simulation-Based Optimization;Choice Behavior;Network Capacity Control","","We consider a choice-based, network revenue management (RM) problem in a setting where heterogeneous customers consider an assortment of products offered by a firm (e. g., different flight times, fare classes, and/or routes). Individual choice decisions are modeled through an ordered list of preferences, and minimal assumptions are made about the statistical properties of this demand sequence. The firm manages the availability of products using a bid-price control strategy, and would like to optimize the control parameters. We formulate a continuous demand and capacity model for this problem that allows for the partial acceptance of requests. The model admits a simple calculation of the sample path gradient of the revenue function. This gradient is then used to construct a stochastic steepest ascent algorithm. We show that the algorithm converges (w.p.1) to a stationary point of the expected revenue function under mild conditions. The procedure is relatively efficient from a computational standpoint, and in our synthetic and real-data experiments performs comparably to or even better than other choice-based methods that are incompatible with the current infrastructure of RM systems. These features make it an interesting candidate to be pursued for real-world applications."
,"A Multiechelon Inventory Problem with Secondary Market Sales","Angelus, Alexandar","MANAGEMENT SCIENCE","57","12","2145-2162","2011","DEC","Inventory Theory;Multiechelon;Stock Disposals;Secondary Markets;Dynamic Programming;Optimal Policy;Heuristics;Echelon Base-Stock Policy","","We consider a finite-horizon, multiechelon inventory system in which the surplus of stock can be sold (i.e., disposed) in the secondary markets at each stage in the system. What are called nested echelon order-up-to policies are shown to be optimal for jointly managing inventory replenishments and secondary market sales. Under a general restriction on model parameters, we establish that it is optimal not to both sell off excess stock and replenish inventory. Secondary market sales complicate the structure of the system, so that the classical Clark and Scarf echelon reformulation no longer allows for the decomposition of the objective function under the optimal policy. We introduce a novel class of policies, referred to as the disposal saturation policies, and show that there exists a disposal saturation policy, determined recursively by a single base-stock level at each echelon, that achieves the decomposition of this problem. The resulting optimal replenishment policy is shown to be the echelon base-stock policy. We demonstrate the heuristic performance of this disposal saturation policy through a series of numerical studies: except at extreme ranges of model parameters, the policy provides a very good approximation to the optimal policy while avoiding the curse of dimensionality. We also conduct numerical studies to determine the value of the secondary markets for multistage supply chains and assess its sensitivity to model parameters. The results provide potentially useful insights for companies seeking to enter or develop secondary markets for supply chains."
,"Evaluating Heuristics Used When Designing Product Costing Systems","Balakrishnan, Ramji and Hansen, Stephen and Labro, Eva","MANAGEMENT SCIENCE","57","3","520-541","2011","MAR","Costing;Estimation;Activity-Based Costing;Cost Drivers;Cost Pools","","The academic and practitioner literature justifies firms' use of product costs in product pricing and capacity planning decisions as heuristics to address an otherwise intractable problem. However, product costs are the output of a cost reporting system, which itself is the outcome of heuristic design choices. In particular, because of informational limitations, when designing cost systems firms use simple rules of thumb to group resources into cost pools and to select drivers used to allocate the pooled costs to products. Using simulations, we examine how popular choices in costing system design influence the error in reported costs. Taking information needs into account, we offer alternative ways to translate the vague guidance in the literature to implementable methods. Specifically, we compare size-based rules for forming cost pools with more informationally demanding correlation-based rules and develop a blended method that performs well in terms of accuracy. In addition, our analysis suggests that significant gains can be made from using a composite driver rather than selecting a driver based on the consumption pattern for the largest resource only, especially when combined with correlation-based rules to group resources. We vary properties of the underlying cost structure (such as the skewness in resource costs, the traceability of resources to products, the sharing of resources across products, and the variance in resource consumption patterns) to address the generalizability of our findings and to show when different heuristics might be preferred."
,"Non-Stationary Stochastic Optimization","Besbes, Omar and Gur, Yonatan and Zeevi, Assaf","OPERATIONS RESEARCH","63","5","1227-1244","2015","SEP-OCT","Stochastic Approximation;Non-Stationary;Minimax Regret;Online Convex Optimization","","We consider a non-stationary variant of a sequential stochastic optimization problem, in which the underlying cost functions may change along the horizon. We propose a measure, termed variation budget, that controls the extent of said change, and study how restrictions on this budget impact achievable performance. We identify sharp conditions under which it is possible to achieve long-run average optimality and more refined performance measures such as rate optimality that fully characterize the complexity of such problems. In doing so, we also establish a strong connection between two rather disparate strands of literature: (1) adversarial online convex optimization and (2) the more traditional stochastic approximation paradigm (couched in a non-stationary setting). This connection is the key to deriving well-performing policies in the latter, by leveraging structure of optimal policies in the former. Finally, tight bounds on the minimax regret allow us to quantify the price of non-stationarity, which mathematically captures the added complexity embedded in a temporally changing environment versus a stationary one."
,"Exact Analysis of a Lost Sales Model Under Stuttering Poisson Demand","Chen, Jie and Jackson, Peter L. and Muckstadt, John A.","OPERATIONS RESEARCH","59","1","249-253","2011","JAN-FEB","","","We investigate the (S - 1, S) inventory policy under stuttering Poisson demand and generally distributed lead time when the excess demand is lost. We correct results presented in Feeney and Sherbrooke's seminal paper [Feeney, G. J., C. C. Sherbrooke. 1966. The (S - 1, S) inventory policy under compound Poisson demand. Management Sci. 12(5) 391-411] and note that the stationary distribution of units on order for the general compound Poisson demand case is still an open question."
,"An Exact Algorithm for the Two-Dimensional Orthogonal Packing Problem with Unloading Constraints","Cote, Jean-Francois and Gendreau, Michel and Potvin, Jean-Yves","OPERATIONS RESEARCH","62","5","1126-1141","2014","SEP-OCT","","","This paper describes an exact algorithm for solving a two-dimensional orthogonal packing problem with unloading constraints, which occurs as a subproblem of mixed vehicle routing and loading problems. The packing considered in this work is basically a feasibility problem involving a single bin. The problem is addressed through a decomposition approach wherein a branch-and-cut algorithm is designed for solving a one-dimensional relaxation of the original problem. When an integer solution is found in the branching tree, a subsidiary problem is solved to identify a two-dimensional packing that does not lead to any overlap and satisfies the unloading constraints. Cuts are added when the subsidiary problem proves to be infeasible. Several preprocessing techniques aimed at reducing the size of the solution space and uncovering infeasibility are also described. A numerical comparison with the best known exact method is reported at the end based on benchmark instances."
,"CUT: A Multicriteria Approach for Concavifiable Preferences","Argyris, Nikolaos and Morton, Alec and Figueira, Jose Rui","OPERATIONS RESEARCH","62","3","633-642","2014","MAY-JUN","","","We consider the problem of helping a decision maker (DM) choose from a set of multiattributed objects when her preferences are concavifiable, i.e. representable by a concave value function. We establish conditions under which preferences or preference intensities are concavifiable. We also derive a characterization for the family of concave value functions compatible with a set of such preference statements expressed by the DM. This can be used to validate dominance relations over discrete sets of alternatives and forms the basis of an interactive procedure. We report on the practical use of this procedure with several DMs for a flat-choice problem and its computational performance on a set of project-portfolio selection problem instances. The use of preference intensities is found to provide significant improvements to the performance of the procedure."
,"Exploiting Erraticism in Search","Fischetti, Matteo and Monaci, Michele","OPERATIONS RESEARCH","62","1","114-122","2014","JAN-FEB","","","High sensitivity to initial conditions is generally viewed as a drawback of tree search methods because it leads to erratic behavior to be mitigated somehow. In this paper we investigate the opposite viewpoint and consider this behavior as an opportunity to exploit. Our working hypothesis is that erraticism is in fact just a consequence of the exponential nature of tree search that acts as a chaotic amplifier, so it is largely unavoidable. We propose a bet-and-run approach to actually turn erraticism to one's advantage. The idea is to make a number of short sample runs with randomized initial conditions, to bet on the most promising run selected according to certain simple criteria, and to bring it to completion. Computational results on a large testbed of mixed integer linear programs from the literature are presented, showing the potential of this approach even when embedded in a proof-of-concept implementation."
,"The Robust Capacitated Vehicle Routing Problem Under Demand Uncertainty","Gounaris, Chrysanthos E. and Wiesemann, Wolfram and Floudas, Christodoulos A.","OPERATIONS RESEARCH","61","3","677-693","2013","MAY-JUN","","","The robust capacitated vehicle routing problem (CVRP) under demand uncertainty is studied to address the minimum cost delivery of a product to geographically dispersed customers using capacity-constrained vehicles. Contrary to the deterministic CVRP, which postulates that the customer demands for the product are deterministic and known, the robust CVRP models the customer demands as random variables, and it determines a minimum cost delivery plan that is feasible for all anticipated demand realizations. Robust optimization counterparts of several deterministic CVRP formulations are derived and compared numerically. Robust rounded capacity inequalities are developed, and it is shown how they can be separated efficiently for two broad classes of demand supports. Finally, it is analyzed how the robust CVRP relates to the chance-constrained CVRP, which allows a controlled degree of supply shortfall to decrease delivery costs."
,"The Implicit Hitting Set Approach to Solve Combinatorial Optimization Problems with an Application to Multigenome Alignment","Moreno-Centeno, Erick and Karp, Richard M.","OPERATIONS RESEARCH","61","2","453-468","2013","MAR-APR","","","We develop a novel framework, the implicit hitting set approach, for solving a class of combinatorial optimization problems. The explicit hitting set problem is as follows: given a set U and a family S of subsets of U, find a minimum-cardinality set that intersects (hits) every set in S. In the implicit hitting set problem (IHSP), the family of subsets S is not explicitly listed (its size is, generally, exponential in terms of the size of U); instead, it is given via a polynomial-time oracle that verifies if a given set H is a hitting set or returns a set in S that is not hit by H. Many NP-hard problems can be straightforwardly formulated as implicit hitting set problems. We show that the implicit hitting set approach is valuable in developing exact and heuristic algorithms for solving this class of combinatorial optimization problems. Specifically, we provide a generic algorithmic strategy, which combines efficient heuristics and exact methods, to solve any IHSP. Given an instance of an IHSP, the proposed algorithmic strategy gives a sequence of feasible solutions and lower bounds on the optimal solution value and ultimately yields an optimal solution. We specialize this algorithmic strategy to solve the multigenome alignment problem and present computational results that illustrate the effectiveness of the implicit hitting set approach."
,"Multiple Objectives Satisficing Under Uncertainty","Lam, Shao-Wei and Tsan Sheng Ng and Sim, Melvyn and Song, Jin-Hwa","OPERATIONS RESEARCH","61","1","214-227","2013","JAN-FEB","","","We propose a class of functions, called multiple objective satisficing (MOS) criteria, for evaluating the level of compliance of a set of objectives in meeting their targets collectively under uncertainty. The MOS criteria include the joint targets' achievement probability (joint success probability criterion) as a special case and also extend to situations when the probability distributions are not fully characterized. We focus on a class of MOS criteria that favors diversification, which has the potential to mitigate severe shortfalls in scenarios when any objective fails to achieve its target. Naturally, this class excludes joint success probability. We further propose the shortfall-aware MOS criterion (S-MOS), which is inspired by the probability measure and is diversification favoring. We also show how to build tractable approximations of the S-MOS criterion. Because the S-MOS criterion maximization is not a convex optimization problem, we propose improvement algorithms via solving sequences of convex optimization problems. We report encouraging computational results on a blending problem in meeting specification targets even in the absence of full probability distribution description."
,"Stabilizing Customer Abandonment in Many-Server Queues with Time-Varying Arrivals","Liu, Yunan and Whitt, Ward","OPERATIONS RESEARCH","60","6","1551-1564","2012","NOV-DEC","","","An algorithm is developed to determine time-dependent staffing levels to stabilize the time-dependent abandonment probabilities and expected delays at positive target values in the M-1/GI/s(1) + GI many-server queueing model, which has a nonhomogeneous Poisson arrival process (the M-1), has general service times (the first GI), and allows customer abandonment according to a general patience distribution (the +GI). New offered-load and modified-offered-load approximations involving infinite-server models are developed for that purpose. Simulations show that the approximations are effective. A many-server heavy-traffic limit in the efficiency-driven regime shows that (i) the proposed approximations achieve the goal asymptotically as the scale increases, and (ii) it is not possible to simultaneously stabilize the mean queue length in the same asymptotic regime."
,"An Overloaded Multiclass FIFO Queue with Abandonments","Jennings, Otis B. and Reed, Josh E.","OPERATIONS RESEARCH","60","5","1282-1295","2012","SEP-OCT","","","In this paper we consider a single-server queue fed by K independent renewal arrival streams, each representing a different job class. Jobs are processed in a FIFO fashion, regardless of class. The total amount of work arriving to the system exceeds the server's capacity. That is, the nominal traffic intensity of the system is assumed to be greater than one. Jobs arriving to the system grow impatient and abandon the queue after a random amount of time if service has not yet begun. Interarrival, service, and abandonment times are assumed to be generally distributed and class specific. We approximate this system using both fluid and diffusion limits. To this end, we consider a sequence of systems indexed by n in which the arrival and service rates are proportional to n; the abandonment distribution remains fixed across the sequence. In our first main result, we show that in the limit as n tends to infinity, the virtual waiting time process converges to a limiting deterministic process. This limit may be characterized as the solution to a first-order ordinary differential equation (ODE). Specific examples are then presented for which the ODE may be explicitly solved. In our second main result, we refine the deterministic fluid approximation by showing that the fluid-centered and diffusion-scaled virtual waiting time process weakly converges to an Ornstein-Uhlenbeck process whose drift and infinitesimal variance both vary over time. This process may also be solved for explicitly, thus yielding approximations to the transient as well as steady-state behavior of the virtual waiting time process."
,"A New Algorithm for the Open-Pit Mine Production Scheduling Problem","Chicoisne, Renaud and Espinoza, Daniel and Goycoolea, Marcos and Moreno, Eduardo and Rubio, Enrique","OPERATIONS RESEARCH","60","3","517-528","2012","MAY-JUN","","","For the purpose of production scheduling, open-pit mines are discretized into three-dimensional arrays known as block models. Production scheduling consists of deciding which blocks should be extracted, when they should be extracted, and what to do with the blocks once they are extracted. Blocks that are close to the surface should be extracted first, and capacity constraints limit the production in each time period. Since the 1960s, it has been known that this problem can be cast as an integer programming model. However, the large size of some real instances (3-10 million blocks, 15-20 time periods) has made these models impractical for use in real planning applications, thus leading to the use of numerous heuristic methods. In this article we study a well-known integer programming formulation of the problem that we refer to as C-PIT. We propose a new decomposition method for solving the linear programming relaxation (LP) of C-PIT when there is a single capacity constraint per time period. This algorithm is based on exploiting the structure of the precedence-constrained knapsack problem and runs in O(mn log n) in which n is the number of blocks and m a function of the precedence relationships in the mine. Our computations show that we can solve, in minutes, the LP relaxation of real-sized mine-planning applications with up to five million blocks and 20 time periods. Combining this with a quick rounding algorithm based on topological sorting, we obtain integer feasible solutions to the more general problem where multiple capacity constraints per time period are considered. Our implementation obtains solutions within 6% of optimality in seconds. A second heuristic step, based on local search, allows us to find solutions within 3% in one hour on all instances considered. For most instances, we obtain solutions within 1-2% of optimality if we let this heuristic run longer. Previous methods have been able to tackle only instances with up to 150,000 blocks and 15 time periods."
,"Approximate Dynamic Programming via a Smoothed Linear Program","Desai, Vijay V. and Farias, Vivek F. and Moallemi, Ciamac C.","OPERATIONS RESEARCH","60","3","655-674","2012","MAY-JUN","","","We present a novel linear program for the approximation of the dynamic programming cost-to-go function in high-dimensional stochastic control problems. LP approaches to approximate DP have typically relied on a natural projection of a well-studied linear program for exact dynamic programming. Such programs restrict attention to approximations that are lower bounds to the optimal cost-to-go function. Our program-the smoothed approximate linear program-is distinct from such approaches and relaxes the restriction to lower bounding approximations in an appropriate fashion while remaining computationally tractable. Doing so appears to have several advantages: First, we demonstrate bounds on the quality of approximation to the optimal cost-to-go function afforded by our approach. These bounds are, in general, no worse than those available for extant LP approaches and for specific problem instances can be shown to be arbitrarily stronger. Second, experiments with our approach on a pair of challenging problems (the game of Tetris and a queueing network control problem) show that the approach outperforms the existing LP approach (which has previously been shown to be competitive with several ADP algorithms) by a substantial margin."
,"Exact FCFS Matching Rates for Two Infinite Multitype Sequences","Adan, Ivo and Weiss, Gideon","OPERATIONS RESEARCH","60","2","475-489","2012","MAR-APR","","","{Motivated by queues with multitype servers and multitype customers, we consider an infinite sequence of items of types C = {c(1),... c(I)}, and another infinite sequence of items of types J = {s(I),... s(J)"
,"Approximation Algorithms for VRP with Stochastic Demands","Gupta, Anupam and Nagarajan, Viswanath and Ravi, R.","OPERATIONS RESEARCH","60","1","123-127","2012","JAN-FEB","","","We consider the vehicle routing problem with stochastic demands (VRPSD). We give randomized approximation algorithms achieving approximation guarantees of 1 + alpha for split-delivery VRPSD, and 2 + alpha for unsplit-delivery VRPSD; here alpha is the best approximation guarantee for the traveling salesman problem. These bounds match the best known for even the respective deterministic problems [Altinkemer, K., B. Gavish. 1987. Heuristics for unequal weight delivery problems with a fixed error guarantee. Oper Res. Lett. 6(4) 149-158; Altinkemer, K., B. Gavish. 1990. Heuristics for delivery problems with constant error guarantees. Transportation Res. 24(4) 294-297] We also show that the cyclic heuristic for split-delivery VRPSD achieves a constant approximation ratio, as conjectured in Bertsimas [Bertsimas, D. J. 1992. A vehicle routing problem with stochastic demand. Oper Res. 40(3) 574-585]."
,"Projected Perspective Reformulations with Applications in Design Problems","Frangioni, Antonio and Gentile, Claudio and Grande, Enrico and Pacifici, Andrea","OPERATIONS RESEARCH","59","5","1225-1232","2011","SEP-OCT","","","The perspective relaxation (PR) is a general approach for constructing tight approximations to mixed-integer nonlinear programs (MINLP) with semicontinuous variables. The PR of a MINLP can be formulated either as a mixed-integer second-order cone program (MI-SOCP), provided that the original objective function is SOCP-representable, or as a semi-infinite MINLP. In this paper, we show that under some further assumptions (rather restrictive, but satisfied in several practical applications), the PR of a mixed-integer quadratic program (MIQP) can also be reformulated as a piecewise-quadratic program (QP), ultimately yielding a QP relaxation of roughly the same size of the standard continuous relaxation. Furthermore, if the original problem has some exploitable structure, then this structure is typically preserved in the reformulation, thus allowing the construction of specialized approaches for solving the PR. We report on implementing these ideas on two MIQPs with appropriate structure: a sensor placement problem and a quadratic-cost (single-commodity) network design problem."
,"The Role of Contract Expirations in Service Parts Management","Pince, Cerag and Frenk, J. B. G. and Dekker, Rommert","PRODUCTION AND OPERATIONS MANAGEMENT","24","10","1580-1597","2015","OCT","Service Parts;Contract Expirations;Inventory;Obsolescence;After Sales","","The majority of after-sales service providers manage their service parts inventory by focusing on the availability of service parts. This approach, combined with automatic replenishment systems, leads to reactive inventory control policies where base stock levels are adjusted only after a service contract expires. Consequently, service providers often face excess stock of critical service parts that are difficult to dispose due to their specificity. In this study, we address this problem by developing inventory control policies taking into account contract expirations. Our key idea is to reduce the base stock level of the one-for-one policy before obsolescence (a full or partial drop in demand rate) occurs and let demand take away excess stock. We refer to this policy as the single-adjustment policy. We benchmark the single-adjustment policy with the multiple-adjustment policy (allowing multiple base stock adjustments) formulated as a dynamic program and verify that for a wide range of instances the single-adjustment policy is an effective heuristic for the multiple-adjustment policy. We also compare the single-adjustment policy with the world-dependent base stock policy offered by Song and Zipkin (1993) and identify the parameter combinations where both policies yield similar costs. We consider two special cases of the single-adjustment policy where the base stock level is kept fixed or the base stock adjustment is postponed to the contract expiration time. We find that the initial demand rate, contract expiration time, and size of the drop in demand rate are the three key parameters driving the choice between the single-adjustment policy and its special cases."
,"Distribution Planning to Optimize Profits in the Motion Picture Industry","Somlo, Barbara and Rajaram, Kumar and Ahmadi, Reza","PRODUCTION AND OPERATIONS MANAGEMENT","20","4","618-636","2011","JUL-AUG","Motion Picture Industry;Forecasting;Distribution Planning;Theater Selection;Optimization","","We consider the distribution planning problem in the motion picture industry. This problem involves forecasting theater-level box office revenues for a given movie and using these forecasts to choose the best locations to screen a movie. We first develop a method that predicts theater-level box office revenues over time for a given movie as a function of movie attributes and theater characteristics. These estimates are then used by the distributor to choose where to screen the movie. The distributor's location selection problem is modeled as an integer programming-based optimization model that chooses the location of theaters in order to optimize profits. We tested our methods on realistic box office data and show that it has the potential to significantly improve the distributor's profits. We also develop some insights into why our methods outperform existing practice, which are crucial to their successful practical implementation."
