isi,title,author,journal,year,month,volume,number,pages,keyword,keywords_plus,web_of_science_categories,abstract,,,,,
ISI:000286364500001,The Effects of Business and Political Ties on Firm Performance: Evidence from China,"Sheng, Shibin and Zhou, Kevin Zheng and Li, Julie Juan",JOURNAL OF MARKETING,2011,JAN,75,1,1$k15$i,Social Ties;Emerging Economy;Relational Governance;Institutional Theory;Institutional Environment;Guanxi,Marketing Channels;Managerial Ties;Emerging Economies;Transition Economy;Executive Insights;Scale Development;Connected Firms;Foreign Firms;Perspective;Innovation,Business,"Despite increasing attention to the role of social ties in emerging economies, few studies have explicitly distinguished the differential roles of business versus political ties. Drawing on relational governance and institutional theories, this study offers a contingent view of business and political ties in China. The findings from a survey of 241 Chinese firms indicate that business ties have a stronger positive effect on performance than political ties, and both effects depend on institutional and market environments. Business ties are more beneficial when legal enforcement is inefficient and technology is changing rapidly, whereas political ties lead to greater performance when general government support is weak and technological turbulence is low. These findings indicate that firms operating in China should be cautious in their use of business and political ties and adapt their tie utilization to changing institutional and market environments.",I4: social networks,,,,
ISI:000359178800002,"Consumer Neuroscience: Applications, Challenges, and Possible Solutions","Plassmann, Hilke and Venkatraman, Vinod and Huettel, Scott and Yoon, Carolyn",JOURNAL OF MARKETING RESEARCH,2015,AUG,52,4,427-435,Consumer Neuroscience;Reverse Inference;Replication;Brain-Behavior Relationships,Ventromedial Prefrontal Cortex;Direct-Current Stimulation;Decision-Making;Self-Control;Marketing Actions;Neuroimaging Data;Neural Responses;Mental States;Brain;Neuroeconomics,Business,"The first decade of consumer neuroscience research has produced groundbreaking work in identifying the basic neural processes underlying human judgment and decision making, with the majority of such studies published in neuroscience journals and influencing models of brain function. Yet for the field of consumer neuroscience to thrive in the next decade, the current emphasis on basic science research must be extended into marketing theory and practice. The authors suggest five concrete ways that neuroscientific methods can be fruitfully applied to marketing. They then outline three fundamental challenges facing consumer neuroscientists and offer potential solutions for addressing them. The authors conclude by describing how consumer neuroscience can become an important complement to research and practice in marketing.",I5: Theory and philosophy of science,,,,
ISI:000352112500007,The Braggart's Dilemma: On the Social Rewards and Penalties of Advertising Prosocial Behavior,"Berman, Jonathan Z. and Levine, Emma E. and Barasch, Alixandra and Small, Deborah A.",JOURNAL OF MARKETING RESEARCH,2015,FEB,52,1,90-104,Prosocial Behavior;Altruism;Bragging;Self-Promotion;Signaling,Self-Interest;Persuasion Knowledge;Correspondence Bias;No Good;Responsibility;Identity;Motives;Choice;Others;Model,Business,"People often brag about, or advertise, their good deeds to others. Seven studies investigate how bragging about prosocial behavior affects perceived generosity. The authors propose that bragging conveys information about an actor's good deeds, leading to an attribution of generosity. However, bragging also signals a selfish motivation (a desire for credit) that undermines the attribution of generosity. Thus, bragging has a positive effect when prosocial behavior is unknown because it informs others that an actor has behaved generously. However, bragging does not help-and often hurts-when prosocial behavior is already known, because it signals a selfish motive. In addition, the authors demonstrate that conspicuous cause marketing products have effects akin to bragging by signaling an impure motive for doing good deeds. Finally, the authors argue that bragging about prosocial behavior is unique because it undermines the precise information that the braggart is trying to convey (generosity). In contrast, bragging about personal achievements does not affect perceptions of the focal trait conveyed in the brag. These findings underscore the strategic considerations inherent in signaling altruism.",I1: Ethics and social responsibility,,,,
ISI:000340863300008,A Topical History of JMR,"Huber, Joel and Kamakura, Wagner and Mela, Carl F.",JOURNAL OF MARKETING RESEARCH,2014,FEB,51,1,84-91,,,Business,"Using subject indexes and text mining of author abstracts, the authors track the evolution of content in Journal of Marketing Research since its inception 50 years ago. These data reveal that the journal has expanded beyond its initial emphasis on marketing research methods and advertising to increase its coverage of other substantive topics and consumer behavior. Moreover, a joint space of topics and editors reveals that editorial orientations appear largely evolutionary rather than revolutionary and that a major shift in journal coverage occurs at the time Marketing Science began publication. The authors conclude their analysis with several policy recommendations.",J1:Journal historical coverage analysis,,,,
ISI:000324975600005,Observer Effects of Punishment in a Distribution Network,"Wang, Danny T. and Gu, Flora F. and Dong, Maggie Chuoyan",JOURNAL OF MARKETING RESEARCH,2013,OCT,50,5,627-643,Punishment;Opportunism;Observer Effect;Marketing Channels,Marketing Channel Relationships;Interfirm Relationships;Uncertainty Management;Relationship Outcomes;Retrospective Reports;Influence Strategies;Franchise Channel;Social-Structure;Performance;Embeddedness,Business,"In a distribution network, a punishment event not only affects the disciplined distributor but also changes the attitudes and behaviors of others in the network (i.e., observers). By moving beyond a dyadic view of punishment, this article considers the effects of punishment on observers and integrates insights from social learning, fairness heuristic, and social network theories. The resulting framework of the observer effects of punishment in a distribution network, empirically tested with a survey in China, reveals two mechanisms through which punishment leads to reduced observer opportunism: (1) a direct deterrence effect and (2) a trust-building process. Moreover, two information-related constructs moderate the observer effects differently. The disciplined distributor's relational ennbeddedness, which motivates greater information flow to observers, aggravates the problem of information asymmetry against the manufacturer, making punishment less deterrent for observers. In contrast, the manufacturer's monitoring capability, which reduces information asymmetry, strengthens observer effects. The authors discuss both theoretical and managerial implications of using punishment to achieve collaboration from a wide network of channel members.",E2: Channel management,,,,
ISI:000311764900005,New Drug Diffusion When Forward-Looking Physicians Learn from Patient Feedback and Detailing,"Chintagunta, Pradeep K. and Goettler, Ronald L. and Kim, Minki",JOURNAL OF MARKETING RESEARCH,2012,DEC,49,6,807-821,Uncertainty;Learning;Dynamic Discrete Choice;New Drug Diffusion,Marketing Communication;Prescription Drugs;Patent Expiration;Consumer Choice;Empirical-Model;Uncertainty;Behavior;Demand;Disclosure;Attitudes,Business,"The authors study physicians' prescription choices when uncertainty about drug efficacy is resolved through two channels: firms' marketing activities (e.g., detailing) and patients' experiences with the drugs. They first provide empirical evidence that suggests that the well-understood information incentive for physicians to experiment with new drugs is reduced when physicians anticipate future detailing. Therefore, increased detailing activity triggers opposing forces: Adoption is hastened as physicians become informed (assuming prior knowledge is initially low) and slows as they reduce experimentation and instead obtain information from detailing at no cost. The authors then estimate a dynamic Bayesian learning model that embodies these trade-offs using physician-level data on prescription choices and detailing received in the months surrounding the introduction of two erectile dysfunction drugs, Levitra and Cialis. Detailing elasticities are lower when physicians anticipate changes in detailing activity than when such changes are unexpected. Accordingly, the authors conclude that to maximize the effect of detailing, firms should avoid announcing increases in detailing activities.",F2: Bayesian Methods/Bayesian Analysis,,,,
ISI:000294974500010,The Role of Reciprocity in Clarifying the Performance Payoff of Relational Behavior,"Hoppner, Jessica J. and Griffith, David A.",JOURNAL OF MARKETING RESEARCH,2011,OCT,48,5,920-928,Reciprocity;Relational Behavior;Buyer-Supplier Relationships;Longitudinal Data,Marketing Channels;Governance;Exchange;Norms;Coordination;Outcomes,Business,"The authors theorize that the inconsistencies in prior research regarding the relational behavior-performance relationship arise from the type of reciprocity the firm internalizes. The results of a longitudinal study of 284 buyer-supplier relationships indicate that relational behavior enhances financial performance when what is exchanged does not need to be directly comparable with what was received (i.e., heteromorphic equivalence reciprocity) or can be returned over a longer time horizon (i.e., long-term immediacy reciprocity). Moreover, relational behavior diminishes financial performance when what is exchanged must be directly comparable in form (i.e., homeomorphic equivalence reciprocity) or returned over a short time horizon (i.e., short-term immediacy reciprocity). The authors further conclude that a longitudinal interaction effect model provides a more accurate understanding of the relational behavior-performance relationship when compared with a cross-sectional interaction effect model, because it minimizes the unobserved heterogeneity effect, thus strengthening causal inference.",E2: Channel management,,,,
ISI:000325305900001,The Dynamic Advertising Effect of Collegiate Athletics,"Chung, Doug J.",MARKETING SCIENCE,2013,SEP-OCT,32,5,679-698,Advertising;Choice Modeling;Entertainment Marketing;Heterogeneity;Panel Data;Structural Modeling,Market;Sales;Carryover;Models,Business,"I measure the spillover effect of intercollegiate athletics on the quantity and quality of applicants to institutions of higher education in the United States- an effect popularly known as the Flutie effect. I treat athletic success as a stock of goodwill that decays over time, similar to that of advertising. A major challenge is that privacy laws prevent us from observing information about the applicant pool. I overcome this challenge by using order statistic distribution to infer applicant quality from information on enrolled students. Using a flexible random-coefficients aggregate discrete choice model that accommodates heterogeneity in preferences for school quality and athletic success, as well as an extensive set of school fixed effects to control for unobserved quality in athletics and academics, I estimate the impact of athletic success on applicant quality and quantity. Overall, athletic success has a significant, long-term goodwill effect on future applications and quality. However, students with lower-than-average SAT scores tend to have a stronger preference for athletic success, whereas students with higher SAT scores have a greater preference for academic quality. Furthermore, the decay rate of athletics' goodwill is significant only for students with lower SAT scores, suggesting that the goodwill created by intercollegiate athletics resides more extensively with lower-scoring students than with their higher-scoring counterparts. But, surprisingly, athletic success impacts applications even among academically stronger students.",B2: Advertising Effectiveness,,,,
ISI:000316827800005,Effective Marketing Science Applications: Insights from the ISMS-MSI Practice Prize Finalist Papers and Projects,"Lilien, Gary L. and Roberts, John H. and Shankar, Venkatesh",MARKETING SCIENCE,2013,MAR-APR,32,2,229-245,Marketing Models;Decision Making;Marketing Analytics;Implementation,Management Support-Systems;Packaged Goods;Model;Winner;Environment;Product;Choice;Equity;Power,Business,"From 2003 to 2012, the ISMS-MSI Practice Prize/Award competition has documented 25 impactful projects, with associated papers appearing in Marketing Science. This article reviews these papers and projects, examines their influence on the relevant organizations, and provides a perspective on the diffusion and impact of marketing science models within the organizations. We base our analysis on three sources of data-the articles, authors' responses to a survey, and in-depth interviews with the authors. We draw some conclusions about how marketing science models can create more impact without losing academic rigor while maintaining strong relevance to practice. We find that the application and diffusion of marketing science models are not restricted to the well-known choice models, conjoint analysis, mapping, and promotional analysis-there are very effective applications across a wide range of managerial problems using an array of marketing science techniques. There is no one successful approach, and although some factors are correlated with impactful marketing science models, there are a number of pathways by which a project can add value to its client organization. Simpler, easier-to-use models that offer robust and improved results can have a stronger impact than academically sophisticated models can. Organizational buy-in is critical and can be achieved through recognizing high-level champions, holding in-house presentations and dialogues, doing pilot assignments, involving multidepartment personnel, and speaking the same language as the influential executives. And we find that intermediaries often, but not always, play a key role in the transportability and diffusion of models across organizations. Although these applications are impressive and reflect profitable academic practitioner partnerships, changes in the knowledge base and reward systems for academics, intermediaries, and practitioners are required for marketing science approaches to realize their potential impact on a much larger scale than the highly selective sample that we have been able to analyze.",J1: Others but relevant to marketing,,,,
ISI:000314355800003,Invited Paper A Keyword History of Marketing Science,"Mela, Carl F. and Roos, Jason and Deng, Yiting",MARKETING SCIENCE,2013,JAN-FEB,32,1,8$k18$i,Keywords;History;Marketing;Data Visualization,Product Life-Cycle;Journals,Business,"This paper considers the history of keywords used in Marketing Science to develop insights on the evolution of marketing science. Several findings emerge. First, pricing and game theory are the most ubiquitous words. More generally, the three C's and four P's predominate, suggesting that keywords and common practical frameworks align. Various trends exist. Some words, like pricing, remain popular over time. Others, like game theory and hierarchical Bayes, have become more popular. Finally, some words are superseded by others, like diffusion by social networking. Second, the overall rate of new keyword introductions has increased, but the likelihood they will remain in use has decreased. This suggests a maturation of the discipline or a long-tail effect. Third, a correspondence analysis indicates three distinct eras of marketing modeling, comporting roughly with each of the past three decades. These eras are driven by the emergence of new data and business problems, suggesting a fluid field responsive to practical problems. Fourth, we consider author publication survival rates, which increase up to six papers and then decline, possibly as a result of changes in ability or motivation. Fifth, survival rates vary with the recency and nature of words. We conclude by discussing the implications for additional journal space and the utility of standardized classification codes.",J1: Others but relevant to marketing (Review of Marketing Science Evolution),,,,
ISI:000314355800012,Successive Sample Selection and Its Relevance for Management Decisions,"Wachtel, Stephan and Otter, Thomas",MARKETING SCIENCE,2013,JAN-FEB,32,1,170-185,Bayesian Estimation;Targeting;Cross-Sectional Analysis;Scoring;Causal Reasoning;Variable Selection;Sample Selection,Bayesian Variable Selection;Multinomial Probit Model;Response Data;Panel-Data;Market;Bias,Business,"We reanalyze endogenous sample selection in the context of customer scoring, targeting, and influencing decisions. Scoring relies on ordered lists of probabilities that customers act in a way that contributes revenues, e.g., purchase something from the firm. Targeting identifies constrained sets of covariate patterns associated with high probabilities of these acts. Influencing aims at changing the probabilities that individual customers act accordingly through marketing activities. We show that successful targeting and influencing decisions require inference that controls for endogenous selection, whereas scoring can proceed relatively successfully based on simpler models that provide (local) approximations, capitalizing on spurious effects of observed covariates. To facilitate the type of inference required for targeting and influencing, we develop a prior that frees the analyst from having to specify (often arbitrary) exclusion restrictions for model identification a priori or to explicitly compare all possible models. We cover exclusions of observed as well as unobserved covariates that may cause the successive selections to be dependent. We automatically infer the dependence structure among selection stages using Markov chain Monte Carlo-based variable selection, before identifying the scale of latent variables. The adaptive parsimony achieved through our prior is particularly helpful in applications where the number of successive selections exceeds two, a relevant but underresearched situation.",F2: Bayesian Methods/Bayesian Analysis,,,,
ISI:000312417900010,Database Submission The ISMS Durable Goods Data Sets,"Ni, Jian and Neslin, Scott A. and Sun, Baohong",MARKETING SCIENCE,2012,NOV-DEC,31,6,1008-1013,Retailer;Durable Goods;Panel Data;Product Adoption;Holiday Promotion;Sales Forecasting,,Business,"This paper describes two new data sets available to academic researchers (at http://www.informs.org/Community/ISMS). The first is a panel data set containing the transactions of 19,936 households made over the period from December 1998 to November 2004 at a major U.S. consumer electronics retailer. There are a total of 173,262 transactions, including purchases and returns of products as well as extended warranties. There are 16 product categories and 292 subcategories, ranging from big-ticket items such as televisions to small-ticket items such as CDs and batteries. The second data set features a field experiment for a Christmas promotion that took place in December 2003 in the form of a direct mailing sent to a randomly selected group of households at the end of November 2003. We describe the data and the potential research issues that can be studied using these two durable goods data sets.",K1: not relevant,,,,
ISI:000304638000001,Introduction to the Special Issue on the Emergence and Impact of User-Generated Content,"Fader, Peter S. and Winer, Russell S.",MARKETING SCIENCE,2012,MAY-JUN,31,"3, SI",369-371,User-Generated Content,,Business,"T he growth of the social Web has resulted in the enormous growth of what is referred to as user-generated content, or UGC. UGC takes the form of product reviews, descriptions of product usage, homemade advertising, blogs, and other consumer-initiated contributions. Following a research competition cosponsored by the Marketing Science Institute and the Wharton interactive Media Initiative (now known as the Wharton Customer Analytics Initiative), a call for papers for a special issue of Marketing Science resulted in 69 submissions. Of these, eight papers were accepted, covering a range of issues such as how and why people make UGC contributions, the impact of UGC contributions, and new methods for analyzing UGC data.",k1: Not relevant (introduction to special issue),,,,
ISI:000293824200004,Uncovering Implicit Consumer Needs for Determining Explicit Product Positioning: Growing Prudential Annuities' Variable Annuity Sales,"Kumar, V. and Shah, Denish",MARKETING SCIENCE,2011,JUL-AUG,30,4,595-603,Behavioral Economics;Emotions;Structural Equation Model;Proactive Market Orientation;Implicit Consumer Needs;Product Positioning;Marketing Strategy,,Business,"A variable annuity is a popular product for investing retirement income. However, thousands of similar-looking variable annuity products are being offered by hundreds of financial service companies. In such a scenario, how can Prudential achieve meaningful product differentiation to increase the sales of its variable annuities? The solution led to the development and implementation of the Emotion Quotient (EQ) Tool. The EQ Tool enabled Prudential to redefine its marketing and sales approach along a proactive (as opposed to responsive) market orientation paradigm. This was accomplished by first using the EQ Tool to uncover and quantify the prevalence of certain emotions (such as fear and regret) in the prospective consumer and then pitching relevant variable annuity product(s) that could mitigate the specific behavioral risk corresponding to the prevalent emotion(s). This approach, which was backed by extensive research (as described in this study), enabled Prudential to gain over $450 million lift in variable annuity sales and contributed to consumer welfare by promoting awareness of behavioral risk to investors who are within five years of their retirement. This research study illustrates how industry can collaborate with academia to successfully apply marketing science to solve real-world business problems.",F3: Econometrics,,,,
ISI:000291010200009,Multiple-Constraint Choice Models with Corner and Interior Solutions,"Satomura, Takuya and Kim, Jaehwan and Allenby, Greg M.",MARKETING SCIENCE,2011,MAY-JUN,30,3,481-490,Multiple Constraints;Choice Model;Corner And Interior Solutions;Quantity Restriction,Demand;Consumer;Time;Econometrics;Discreteness;Sales;Sets,Business,"Achoice model based on direct utility maximization subject to an arbitrary number of constraints is developed and applied to conjoint data. The model can accommodate both corner and interior solutions, and it provides insights into the proportion of respondents bound by each constraint. Application to volumetric choice data reveals that the majority of respondents make choices consistent with price and quantity restrictions. Estimates based on a single monetary-constraint choice model are shown to lead to biased estimates of the monetary value of attribute levels.",F3: Econometrics,,,,
ISI:000291010200010,Crisis and Consumption Smoothing,"Dutt, Pushan and Padmanabhan, V.",MARKETING SCIENCE,2011,MAY-JUN,30,3,491-512,Consumer Behavior;Consumption Smoothing;Crisis;Econometrics;Marketing Strategy,Dynamic Heterogeneous Panels;Product-Harm Crisis;Financial Crisis;Emerging Markets;Permanent Income;Currency Crises;United-Kingdom;Demand;Tests;Specification,Business,"The dramatic impact of the current crisis on performance of businesses across sectors and economies has been headlining the business press for the past several months. Extant reconciliations of these patterns in the popular press rely on ad hoc reasoning. Using historical data on currency crisis episodes across the world, we show that the impact of the crisis on a firm's business is best understood by focusing on the impact of the crisis on the behavior of consumers. Our analyses show that consumer behavior in a crisis is characterized by consumption smoothing at various levels-intertemporal, intercategory, and intracategory. These behavioral adjustments result in significant reallocation of consumption expenditures. More importantly, the smoothing decisions because of a crisis are distinct and independent of the impact of changes in income and prices that accompany a crisis. Interestingly, there is marked variation in the patterns of consumption smoothing across different types of economies. Taken together, these results have important and interesting implications for managers, policy makers, and academics.",F3: Econometrics,,,,
