index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
11,"Attention Modes and Price Importance: How Experiencing and Mind-Wandering Influence the Prioritization of Changeable Stimuli","Rahinel, Ryan and Ahluwalia, Rohini","JOURNAL OF CONSUMER RESEARCH","42","2","214-234","2015","AUG","Attention Modes;Price Importance;Price Role;Changeability;Attribute Weighting","","At every waking moment, one's mode of attention is situated at some point on a spectrum ranging from experiencing, where attention is directed toward perceptions and cognitions related to the immediate physical environment, to mind-wandering, where attention is directed toward thoughts, feelings, and daydreams that are decoupled from the environment. Across five studies, the authors propose and find that people in an experiencing (vs. mind-wandering) mode place more importance on detecting change in their environment, which leads them to prioritize attention toward changeable stimuli (like price) and subsequently afford such stimuli greater weight in judgments and decisions. The research not only uncovers a novel stimuli characteristic-changeability-important in both the domain of attention modes and judgments but also diverges from the typical characterization of price as a salient cue or heuristic to generate a unique set of findings based on price's inherently changeable nature. More broadly, the findings highlight a way in which consumers' fundamental judgment and decision-making processes are shaped by cognitive mechanisms designed for the physical world."
12,"Women Skating on the Edge: Marketplace Performances as Ideological Edgework","Thompson, Craig J. and Ustuner, Tuba","JOURNAL OF CONSUMER RESEARCH","42","2","235-265","2015","AUG","Consumer Culture Theory;Marketplace Performances;Gender;Consumer Identity Projects;The Sociology Of Consumption;Consumer Resistance","","This study analyzes the marketplace performances that are enacted in the field of women's flat track roller derby using the theoretical lens of gender performativity. Rather than treating the roller derby field as an autonomous enclave of gender resistance, this study focuses on the interrelationships between derby grrrls' resignifying performances of femininity and the gender constraints that have been naturalized in their everyday lives. The market-mediated nature of derby grrrls' ideological edgework enables them to challenge orthodox gender boundaries, without losing sociocultural legitimacy. This analysis casts new theoretical light on the gendered habitus and reveals key differences to the outcomes that would follow from Bourdieusian assumptions about the deployment of cultural capital in zero-sum status competitions. The concept of ideological edgework also presents a theoretical alternative to critical arguments, such as the commodity feminism thesis, that assume an inherently paradoxical and, ultimately co-opting, relationship exists between practices of countercultural resistance and marketplace performances. We further argue that ideological edgework redresses some of the conceptual ambiguities that can lead gender researchers to conflate gender performativity with social performances."
13,"Inhibited from Bowling Alone","Ratner, Rebecca K. and Hamilton, Rebecca W.","JOURNAL OF CONSUMER RESEARCH","42","2","266-283","2015","AUG","Social Norms;Inhibition;Hedonic Consumption;Affective Forecasting","","The present research demonstrates that consumers often feel inhibited from engaging in hedonic activities alone, especially when these activities are observable by others. When considering whether to engage in a hedonic and public activity such as going to a movie alone, individuals anticipate negative inferences from others about their social connectedness that reduce their interest in engaging in the activity. Notably, consumers seem to overestimate how much their enjoyment of these activities depends on whether they are accompanied by a companion. Cues that attenuate consumers' anticipation of negative inferences by making an activity seem more utilitarian or by reducing the anticipated number of observers systematically increases interest in engaging in unaccompanied public activities."
14,"Do Materialists Prefer the Brand-as-Servant? The Interactive Effect of Anthropomorphized Brand Roles and Materialism on Consumer Responses","Kim, Hyeongmin Christian and Kramer, Thomas","JOURNAL OF CONSUMER RESEARCH","42","2","284-299","2015","AUG","Anthropomorphism;Materialism;Partner;Servant;Consumer-Brand Relationship","","Although considerable attention has been paid to the brand-as-partner, the current research shows that the brand-as-servant is embraced by consumers whose value system facilitates a master-servant relationship in the quasi-social experiences provided by brand anthropomorphism. Four studies evince that differences in hierarchical structure inherent in brands working with (i.e., partner brands) versus working for (i.e., servant brands) consumers engender materialism to play a systematic role in determining consumer responses to being an equal partner versus dominating master in consumer-brand relationships. In particular, materialists respond more favorably to a servant brand than to a partner brand when the brand is anthropomorphized (vs. objectified), and they respond more favorably to an anthropomorphized servant brand than do nonmaterialists. This effect is actualized through traits of materialists, moderated by brand status and mediated by an activated desire to dominate the servant brand. This finding shows that partnership may not be the only meaningful relationship that consumers form with their brands."
15,"Persuasion, Interrupted: The Effect of Momentary Interruptions on Message Processing and Persuasion","Kupor, Daniella M. and Tormala, Zakary L.","JOURNAL OF CONSUMER RESEARCH","42","2","300-315","2015","AUG","Interruption;Persuasion;Attitude Change","","Marketers often seek to minimize or eliminate interruptions when they deliver persuasive messages in an attempt to increase consumers' attention and processing of those messages. However, in five studies conducted across different experimental contexts and different content domains, the current research reveals that interruptions that temporarily disrupt a persuasive message can increase consumers' processing of that message. As a result, consumers can be more persuaded by interrupted messages than they would be by the exact same messages delivered uninterrupted. In documenting this effect, the current research departs from past research illuminating the negative effects of interruptions, and delineates the mechanism through which and conditions under which momentary interruptions can promote persuasion."
16,"Strength without Elaboration: The Role of Implicit Self-Theories in Forming and Accessing Attitudes","Kwon, Jaehwan and Nayakankuppam, Dhananjay","JOURNAL OF CONSUMER RESEARCH","42","2","316-339","2015","AUG","Attitude Formation;Attitude Strength;Implicit Self-Theory;Strength Without Elaboration Effect","","A consistent finding in the attitude literature is that strong attitudes are products of effortful cognitive elaboration (Petty and Cacioppo 1984; Petty and Wegener 1999). The current research extends this by incorporating the construct of implicit self-theory. Specifically, it finds that that individuals who believe in fixed traits of personality (entity theorists) form strong attitudes without effortful cognitive elaboration. They form attitudes more quickly and with less effort but hold these attitudes more strongly than incremental theorists, whereas those who believe in malleable traits (incremental theorists) can form strong attitudes only with a high level of elaboration. The current research suggests that effortful cognitive elaboration is a sufficient but not necessary condition for attitude strength. The underlying mechanism for this strength without elaboration effect is also traced."
17,"When Temptations Come Alive: How Anthropomorphism Undermines Self-Control","Hur, Julia D. and Koo, Minjung and Hofmann, Wilhelm","JOURNAL OF CONSUMER RESEARCH","42","2","340-358","2015","AUG","Self-Control;Anthropomorphism;Temptation;Conflict","","We examine how anthropomorphizing a temptation impacts consumer self-control. Six studies show that anthropomorphizing a tempting product impairs self-control not by boosting desire strength but by decreasing consumers' experience of conflict toward consuming the product-an alarm that signals a need for self-control. As a result, consumers are less likely to initiate self-control and are more likely to indulge in the product. This process occurs because an anthropomorphized product acts as another agent in the self-control dilemma, which decreases the extent to which consumers attribute the cause of and responsibility for their consumption to themselves (i.e., internal attribution)."
18,"The Journal of Consumer Research at 40: A Historical Analysis","Wang, Xin (Shane) and Bendle, Neil T. and Mai, Feng and Cotte, June","JOURNAL OF CONSUMER RESEARCH","42","1","5-18","2015","JUN","Topic Modeling;Journal Of Consumer Research;Historical Analysis;Citation Analysis","","This article reviews 40 years of the Journal of Consumer Research (JCR). Using text mining, we uncover the key phrases associated with consumer research. We use a topic modeling procedure to uncover 16 topics that have been featured in the journal since its inception and to show the trends in topics over time. For example, we highlight the decline in family decision-making research and the flourishing of social identity and influence research since the journal's inception. A citation analysis shows which JCR articles have had the most impact and compares the topics in top-cited articles with all JCR journal articles. We show that methodological and consumer culture articles tend to be heavily cited. We conclude by investigating the scholars who have been the top contributors to the journal across the four decades of its existence. And to better understand which schools have contributed most to the knowledge of consumer research over this history, we provide an analysis of where these top-performing scholars were trained. Our approach shows that the JCR archives can be an excellent source of data for scholars trying to understand the complicated, challenging, and dynamic field of consumer research."
19,"Lordy, Lordy, Look Who's 40! The Journal of Consumer Research Reaches a Milestone","Rapp, Justine M. and Hill, Ronald Paul","JOURNAL OF CONSUMER RESEARCH","42","1","19-29","2015","JUN","Consumer Research;Historical Review;Methodological Issues","","The Journal of Consumer Research has completed four decades as one of the top journals in the larger field of marketing as well as the premier outlet for research on consumer behavior. This elite status is based, in part, on its stated objective as a multidisciplinary journal that allows for a variety of topics, methods, and populations that are central to collectives of scholars from many social sciences and methodological orientations. While a few articles have reviewed the level of diversity within the journal and among its peers, none to date has taken an expansive look at what is studied, how it is examined, and which consumers are used to determine the validity of our theoretical contributions. Thus this article looks across the life span of JCR to address these issues and finds considerable progress along with major areas that should be addressed by the community of researchers that constitutes our field."
20,"How, When, and Why Do Attribute-Complementary versus Attribute-Similar Cobrands Affect Brand Evaluations: A Concept Combination Perspective","Swaminathan, Vanitha and Gurhan-Canli, Zeynep and Kubat, Umut and Hayran, Ceren","JOURNAL OF CONSUMER RESEARCH","42","1","45-58","2015","JUN","Cobranding;Brand Equity;Attribute Complementarity;Alliances;Marketing Alliances;Concept Combination","","Extant research on cobranding does not examine when and why complementarity or similarity between cobranding partners can be more effective. This research examines consumers' reactions to cobranded partnerships that feature brands with either complementary or similar attribute levels, both of which are common in the marketplace. The results of six experiments show that consumers' evaluations vary as a function of concept combination interpretation strategy (property mapping or relational linking) and whether cobranded partners have complementary or similar attributes. Specifically, when consumers use property mapping, they evaluate cobranded partnerships with complementary (vs. similar) attribute levels more favorably. In contrast, when using relational linking, they evaluate cobranded partnerships with complementary (vs. similar) attribute levels less favorably. The results also reveal that the breadth of the host brand (broad vs. narrow) and the type of advertising influence the extent to which consumers are likely to use property mapping or relational linking in evaluating cobranded partnerships."
21,"Seeking Lasting Enjoyment with Limited Money: Financial Constraints Increase Preference for Material Goods over Experiences","Tully, Stephanie M. and Hershfield, Hal E. and Meyvis, Tom","JOURNAL OF CONSUMER RESEARCH","42","1","59-75","2015","JUN","Financial Constraints;Discretionary Spending;Experiences And Material Goods;Longevity;Myopia","","Consumers with limited discretionary money face important trade-offs when deciding how to spend it. In the current research, we suggest that feelings of financial constraint increase consumers' concern about the lasting utility of their purchases, which in turn increases their preference for material goods over experiences. The results of seven studies confirm that the consideration of financial constraints shifts consumers' preferences toward material goods (rather than experiences), and that this systematic shift is due to an increased concern about the longevity of the purchase. This preference shift persists even when the material goods are more frivolous than the experiences, indicating that the effect is not driven by an increased desire for sensible and justifiable purchases. However, the shift toward material purchases disappears when the material good is unusually short lived, further implicating concern about longevity as the key driver of the effect. Finally, the consideration of financial constraints increases preference for material purchases even when the potential memories that experiences can provide are made explicitly salient. Together, these results indicate that financially constrained consumers spend their discretionary money on material purchases as a means of securing long-term consumption utility."
22,"When Brands Reflect Our Ideal World: The Values and Brand Preferences of Consumers Who Support versus Reject Society's Dominant Ideology","Shepherd, Steven and Chartrand, Tanya L. and Fitzsimons, Gavan J.","JOURNAL OF CONSUMER RESEARCH","42","1","76-92","2015","JUN","Ideology;Branding;Policy;Values;Culture;System Justification","","In what ways can brands symbolize America's defining values, and for whom do these values resonate? Drawing from research on values (Schwartz 1994), the symbolic power of brands (Holt 2004, 2006; McCracken 1986), and system justification theory (Jost and Banaji 1994), the current research explores (1) what values define America's dominant ideology, (2) which consumers subscribe to these values, and (3) implications for brands that reflect versus do not reflect the dominant ideology. It is proposed that consumers vary in their satisfaction with American society and their endorsement of America's defining values, and thus differ in the values they endorse versus reject in brands. Five experiments manipulate whether or not the values signaled by a brand are in alignment with the dominant ideology. Consumers more versus less satisfied with American society respond differently to the values a brand signals, affecting brand attitudes, perceptions of a brand's status as a cultural icon, and purchase intentions. In a sixth experiment, those more versus less satisfied with American society respond differently to consumer-related policy (i.e., a ban on trans fat), depending on the values that the policy is framed as reflecting. Implications for branding and policy are discussed."
23,"Pursuing Attainment versus Maintenance Goals: The Interplay of Self-Construal and Goal Type on Consumer Motivation","Yang, Haiyang and Stamatogiannakis, Antonios and Chattopadhyay, Amitava","JOURNAL OF CONSUMER RESEARCH","42","1","93-108","2015","JUN","Goal Type;Self-Construal;Attainment Goal;Maintenance Goal;Independent Self-Construal;Interdependent Self-Construal;Culture;Motivation","","This research examines how self-construal (i.e., independent vs. interdependent) and goal type (i.e., attainment vs. maintenance) are conceptually linked and jointly impact consumer behavior. The results of five experiments and one field study involving different operationalizations of self-construal and goal pursuit activities suggest that attainment (maintenance) goals can be more motivating for participants with a more independent (interdependent) self-construal and that differences in salient knowledge about pursuing the goals are one potential mechanism underlying this effect. This interaction effect was found within a single culture, between cultures, when self-construal was experimentally manipulated or measured, and when potential confounding factors like regulatory focus were controlled for. The effect was also found to impact consumer behavior in real life-self-construal, as reflected by the number of social ties consumers had, impacted the likelihood that they opted to reduce versus maintain their bodyweight. Further, after setting their goal, consumers who were more independent exhibited more (less) motivation, as measured by the amount of money they put at stake, when their goal was weight reduction (maintenance). These findings shed light on the relationship between self-construal and goal type, and offer insights, to both consumers and managers, on how to increase motivation for goal pursuit."
24,"Indigenes' Responses to Immigrants' Consumer Acculturation: A Relational Configuration Analysis","Luedicke, Marius K.","JOURNAL OF CONSUMER RESEARCH","42","1","109-129","2015","JUN","Consumer Acculturation;Ethnicity;Migration;Discrimination;Racism;Ethnic Group Conflict;Consumer Relationships","","Consumer research commonly conceptualizes consumer acculturation as a project that immigrants pursue when adjusting their consumer identities and practices to unfamiliar sociocultural environments. This article broadens this prevailing view by conceptualizing consumer acculturation as a relational, interactive adaptation process that involves not only immigrant consumption practices but also indigenes who interpret and adjust to these practices, thereby shaping the paths of possibility for mutual adaptation. Based on a Fiskenian relational configuration analysis, the study shows how indigenes in a rural European town interpret certain immigrant consumption practices as manifestations of a gradual sell-out of the indigenous community, a crumbling of their authority, a violation of equality rules, and of indigenes being torn between contradictory micro-and macro-social morals. The article contributes a broader conceptualization of consumer acculturation, highlights four sources of ethnic group conflict in a consumer acculturation context, and demonstrates the epistemic value of Fiskenian relational configuration analysis for consumer culture theory."
25,"Domesticating Public Space through Ritual: Tailgating as Vestaval","Bradford, Tonya Williams and Sherry, Jr., John F.","JOURNAL OF CONSUMER RESEARCH","42","1","130-151","2015","JUN","Ritual;Vestaval;Tailgate;Communal Space;Place","","Using a semiotic square to study placeway rituals, we theorize one particular sanctuary, a secular ritual we term vestaval-and specifically, its manifestation in the form of tailgating-as a site of popular communion. Vestaval demonstrates the power of consumption to stimulate social and civic engagement. We employ an ethnographic team methodology to describe and analyze the phenomenon. We theorize the eversion mechanism that animates vestaval and sets it apart from other social forms including spectacle, festival, and carnival well known to consumer research. We explore how vestaval turns the domestic world inside out and offers a template both for the temporary suspension and potential remaking of the social relations of market and polity. We detail a set of practices within four themes-location, construction, customization, and inhabitation-that enables the conversion of private space to public place and the creation of community from a confederacy of consumption encampments. These dynamics are presented as a Mobius strip to emphasize not only the simultaneity of stages, but also the constant sharing of energy. By examining how midwestern American tailgaters in a collegiate setting personalize public place and publicize personal place, we demonstrate how individuals negotiate two of the fundamental consumption ideologies of public space."
26,"Selling, Sharing, and Everything In Between: The Hybrid Economies of Collaborative Networks","Scaraboto, Daiane","JOURNAL OF CONSUMER RESEARCH","42","1","152-176","2015","JUN","Hybrid Economy;Performativity;Exchange;Sharing;Gift Giving","","Recent consumer research has examined contexts where market-based exchange, gift-giving, sharing, and other modes of exchange occur simultaneously and obey several intersecting logics, but consumer research has not conceptualized these so-called hybrid economic forms nor explained how these hybrids are shaped and sustained. Using ethnographic and netnographic data from the collaborative network of geocaching, this study explains the emergence of hybrid economies. Performativity theory is mobilized to demonstrate that the hybrid status of these economies is constantly under threat of destabilization by the struggle between competing performativities of market and nonmarket modes of exchange. Despite latent tension between competing performativities, the hybrid economy is sustained through consumer-producer engagements in collaborative consumption and production, the creation of zones of indeterminacy, and the enactment of tournaments of value that dissipate controversies around hybrid transactions. Implications are drawn for consumer research on the interplay between market and nonmarket economies."
27,"Material Parenting: How the Use of Goods in Parenting Fosters Materialism in the Next Generation","Richins, Marsha L. and Chaplin, Lan Nguyen","JOURNAL OF CONSUMER RESEARCH","41","6","1333-1357","2015","APR","","","This research introduces the concept of material parenting, in which parents use material goods to express their love or to shape children's behavior. Despite the common use of material goods for these purposes, possible long term effects of material parenting practices have not been studied. This article addresses this oversight by examining the potential effects of material parenting on the material values of children once they're grown. This research proposes and tests a material parenting pathway, in which warm and supportive parents provide children with material rewards that in the long run foster materialism in adulthood. An insecurity pathway to materialism, previously proposed in the literature, is also examined. Results from three survey studies provide support for both pathways. Results also suggest that material parenting may influence children's material values by (possibly unintentionally) encouraging them to use possessions to shape and transform the self."
28,"The Floor Is Nearer than the Sky: How Looking Up or Down Affects Construal Level","Van Kerckhove, Anneleen and Geuens, Maggie and Vermeir, Iris","JOURNAL OF CONSUMER RESEARCH","41","6","1358-1371","2015","APR","","","This research shows that consumers select a different product when they look down versus up. Because (1) people are accustomed to looking down to process nearby stimuli and to looking up to process distant stimuli, and because (2) perceived distance is linked to concrete versus abstract processing, the association between moving one's eyes or head down or up and concrete versus abstract processing has become overly generalized. A series of three experiments highlights that downward (upward) head and eye movements evoke more concrete (abstract) processing because downward (upward) head or eye movements have come to serve as a proximity (distance) cue. Two additional experiments indicate downstream behavioral consequences of moving one's eyes or head down versus up. Consumers choose more for feasible versus desirable products when looking down and vice versa when looking up. They also tend to be more preference-consistent when looking down versus up."
29,"Playing the Field: The Effect of Fertility on Women's Desire for Variety","Durante, Kristina M. and Arsena, Ashley Rae","JOURNAL OF CONSUMER RESEARCH","41","6","1372-1391","2015","APR","","","Previous research finds that ovulation-the time each month when women are most fertile-can shift women's mating psychology and increase their desire for new options in men. However, might ovulation also increase women's desire for new products? Four studies find that women select a greater number of unique options from consumer product sets at high fertility. This effect is especially strong for women in committed relationships. Additional findings show that the fertility shift in desire for variety in products is driven by the fertility shift in desire for new options in men activating a variety-seeking mind-set. Subsequently, loyalty to a romantic partner, whether manipulated or measured, moderated the effect of fertility on consumer variety seeking. This research contributes to the literature by revealing when, why, and how fertility influences desire for variety in consumer choice and highlights the mating motives that underlie this effect."
30,"I Follow My Heart and We Rely on Reasons: The Impact of Self-Construal on Reliance on Feelings versus Reasons in Decision Making","Hong, Jiewen and Chang, Hannah H.","JOURNAL OF CONSUMER RESEARCH","41","6","1392-1411","2015","APR","","","Results from six experiments support the hypothesis that an accessible independent self-construal promotes a greater reliance on feelings in making judgments and decisions, whereas an accessible interdependent self-construal promotes a greater reliance on reasons. Specifically, compared to an interdependent self-construal, an independent self-construal increases the relative preference for affectively superior options as opposed to cognitively superior options (experiments 1A and 1B) and strengthens the effects of incidental mood on evaluations (experiment 2). Further, valuations of the decision outcome increase when independent (interdependent) consumers adopt a feeling-based (reason-based) decision strategy (experiment 3). Finally, these effects are moderated by decision focus (whether the decision is made for oneself or for others; experiment 4) and need for justification during decision making (experiment 5). Theoretical implications and managerial implications are discussed."
