index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
11,"New Heuristic Approaches for the Bounded-Diameter Minimum Spanning Tree Problem","Steitz, Wolfgang","INFORMS JOURNAL ON COMPUTING","27","1","151-163","2015","WIN","Backbone;Bounded-Diameter Minimum Spanning Tree Problem;Construction Heuristics;Diameter;Optimization;Spanning Trees","","Given a bound, the bounded-diameter minimum spanning tree (BDMST) problem seeks a spanning tree of minimum total weight with a diameter not exceeding the given diameter bound. Depending on the tightness of the bound, optimal solutions have different structures. For loose bounds, optimal solutions are similar to the much easier minimum spanning tree problem, and greedy heuristics perform best. In contrast, these approaches fail for tight diameter bounds. This paper investigates how the structure of good solutions, and in particular their backbones, change depending on the diameter bound. Two new heuristics are then designed to overcome the shortcomings of existing approaches; required parameters are investigated; and the paper presents performance results for Euclidean BDMST instances."
12,"Solving the Maximum Clique and Vertex Coloring Problems on Very Large Sparse Networks","Verma, Anurag and Buchanan, Austin and Butenko, Sergiy","INFORMS JOURNAL ON COMPUTING","27","1","164-177","2015","WIN","Maximum Clique;Vertex Coloring;Very-Large-Scale Networks;Exact Algorithm;K-Community;K-Core;Clique Relaxation;Scale Reduction","","This paper explores techniques for solving the maximum clique and vertex coloring problems on very largescale real-life networks. Because of the size of such networks and the intractability of the considered problems, previously developed exact algorithms may not be directly applicable. The proposed approaches aim to reduce the network instances to a size that is tractable for existing solvers, while preserving optimality. Two clique relaxation structures are exploited for this purpose. In addition to the known k -core structure, a newly introduced clique relaxation, k -community, is used to further reduce the instance size. Experimental results on real-life graphs (collaboration networks, P2P networks, social networks, etc.) show the proposed procedures to be effective by finding, for the first time, exact solutions for instances with over 18 million vertices."
13,"An Integer Programming Approach for Fault-Tolerant Connected Dominating Sets","Buchanan, Austin and Sung, Je Sang and Butenko, Sergiy","INFORMS JOURNAL ON COMPUTING","27","1","178-188","2015","WIN","Connected Dominating Set;K-Connected M-Dominating Set;Integer Programming;Fault-Tolerant","","This paper considers the minimum k -connected d -dominating set problem, which is a fault-tolerant generalization of the minimum connected dominating set ( MCDS) problem. Three integer programming formulations based on vertex cuts are proposed ( depending on whether d < k, d D k, or d > k) and their integer hulls are studied. The separation problem for the vertex-cut inequalities is a weighted vertex-connectivity problem and is polytime solvable, meaning that the LP relaxation can be solved in polytime despite having exponentially many constraints. A new class of valid inequalities-r-robust vertex-cut inequalities-is introduced and is shown to induce exponentially many facets. Finally, a lazy-constraint approach is shown to compare favorably with existing approaches for the MCDS problem ( the case k = d = 1), and is in fact the fastest in literature for standard test instances. A key subroutine is an algorithm for finding an inclusion-wise minimal vertex cut in linear time. Computational results for (k, d) =(2, 1), (2, 2), (3, 3), (4, 4) are provided as well."
14,"A Criterion Space Search Algorithm for Biobjective Mixed Integer Programming: The Triangle Splitting Method","Boland, Natashia and Charkhgard, Hadi and Savelsbergh, Martin","INFORMS JOURNAL ON COMPUTING","27","4","597-618","2015","FAL","Biobjective Mixed Integer Programming;Criterion Space Search Algorithm;The Triangle Splitting Method","","We present the first criterion space search algorithm, the triangle splitting method, for finding all nondominated points of a biobjective mixed integer program. The algorithm is relatively easy to implement and converges quickly to the complete set of nondominated points. The algorithm maintains, at any point in time, a diverse set of nondominated points, and is thus ideally suited for fast approximation of the nondominated frontier. An extensive computational study demonstrates the efficacy of the triangle splitting method."
15,"Growth Projections and Assortment Planning of Commodity Products Across Multiple Stores: A Data Mining and Optimization Approach","Bai, Xue and Bhattacharjee, Sudip and Boylu, Fidan and Gopal, Ram","INFORMS JOURNAL ON COMPUTING","27","4","619-635","2015","FAL","Data Mining;Assortment Planning;Association Rule Mining;Product Variety;Sales Efficiency","","Product assortment and availability are important determinants of sales success for firms of industrial commodity products. Well-known pricing and promotion strategies for differentiated products do not translate well to such products where price is closely tied to the cost of the products. Consequently, firms with multiple stores of commodity products are faced with the problem of product assortment that incorporates varying geographic and demographic conditions of locations they serve. The paper presents a model for assortment planning and optimization for multiple stores of a company. The novelty of our approach is twofold: first, it deploys data mining techniques to identify sales pattern information across multiple stores through existing sales data across segments and across stores; second, it identifies the optimal product assortment for each store and permits analyses of assortment efficiency evaluation among all existing stores. Our model first finds frequent itemsets based on association rule analysis and prunes them using a novel conflict resolution method. It then incorporates the identified product combinations into the development of the optimization formulation. Our methodology offers solutions that have important implications on product assortment, including complements versus substitutes and product bundling, and sheds lights on product planning and assortment strategies in general. A data set from an industry leading plastics manufacturer and retailer in the United States is used to demonstrate our model."
16,"A 3/2-Approximation Algorithm for the Multiple TSP with a Fixed Number of Depots","Xu, Zhou and Rodrigues, Brian","INFORMS JOURNAL ON COMPUTING","27","4","636-645","2015","FAL","Approximation Algorithm;Multiple Depots;Traveling Salesman;Matroid","","We study a natural extension of the classical traveling salesman problem (TSP) in the situation where multiple salesmen are dispatched from a number of different depots. As with the TSP, this problem is motivated by a large range of applications in vehicle routing. Although it is known to have a 2-approximation algorithm, whether the problem has a 3/2-approximation algorithm, as is the case with the well-known Christofides heuristic for the TSP, remains an open question. We answer this question positively by providing a 3/2-approximation algorithm for the problem with a fixed number of depots. The algorithm uses an edge exchange strategy, and its analysis hinges on a newly discovered exchange property of matroids. In addition, the algorithm is applied to multidepot extensions of other TSP variants, and we show for the first time, to our knowledge, that for these multidepot extensions the same best constant approximation ratios can be achieved as for their respective single-depot cases."
17,"Linear Programming and the Control of Diffusion Processes","Ahn, Andrew and Haugh, Martin","INFORMS JOURNAL ON COMPUTING","27","4","646-657","2015","FAL","Linear Programming;Portfolio Optimization;Duality","","Recent work by Han and Van Roy [Han J, Van Roy B (2011) Control of diffusions via linear programming. Infanger G, ed. Stochastic Programming: The State of the Art, in Honor of George B. Dantzig (Springer, New York), 329-354] introduced a linear programming technique to compute good suboptimal solutions to high-dimensional control problems in a diffusion-based setting. Their problem formulation worked with finite horizon problems where the horizon, T, is an exponentially distributed random variable. We extend their approach to finite horizon problems with a fixed horizon T. We also apply these techniques to dynamic portfolio optimization problems and then simulate the resulting policies to obtain lower bounds on the optimal value functions. We also use these policies in conjunction with convex duality methods designed for portfolio optimization problems to construct upper bounds on the optimal value functions. In our numerical experiments we find that the primal and dual bounds are very close, and so we conclude, for these problems at least, that the linear programming approach performs very well."
18,"Exact and Heuristic Algorithms for Capacitated Vehicle Routing Problems with Quadratic Costs Structure","Martinelli, Rafael and Contardo, Claudio","INFORMS JOURNAL ON COMPUTING","27","4","658-676","2015","FAL","Quadratic Capacitated Vehicle Routing Problem;Angle Capacitated Vehicle Routing Problem;Capacitated Vehicle Routing Problem With Reload Costs;Branch And Cut;Hybrid Metaheuristic","","In this article we introduce the quadratic capacitated vehicle routing problem (QCVRP) motivated by two applications in engineering and logistics: the capacitated vehicle routing problem with angle penalties (angle-CVRP) and the capacitated vehicle routing problem with reload costs (CVRP-RC). We introduce a three-index vehicle-flow formulation of the problem, which is strengthened with valid inequalities, and we derive a branch-and-cut algorithm capable of providing tight lower bounds and solving small-to medium-size instances in short to moderate computing times. Furthermore, we present a hybrid metaheuristic capable of providing high quality solutions in short computing times. The two algorithms are tested on several instances from the CVRP literature modified to mimic the two problems that motivate our study."
19,"Roundoff-Error-Free Algorithms for Solving Linear Systems via Cholesky and LU Factorizations","Escobedo, Adolfo R. and Moreno-Centeno, Erick","INFORMS JOURNAL ON COMPUTING","27","4","677-689","2015","FAL","Exact Mathematical Programming;Exact Algorithms;Matrix Factorizations;Roundoff Errors;Solving Linear Systems","","LU and Cholesky factorizations are computational tools for efficiently solving linear systems that play a central role in solving linear programs and several other classes of mathematical programs. In many documented cases, however, the roundoff errors accrued during the construction and implementation of these factorizations lead to the misclassification of feasible problems as infeasible and vice versa. Hence, reducing these roundoff errors or eliminating them altogether is imperative to guarantee the correctness of the solutions provided by optimization solvers. To achieve this goal without having to use rational arithmetic, we introduce two roundoff-error-free factorizations that require storing the same number of individual elements and performing a similar number of operations as the traditional LU and Cholesky factorizations. Additionally, we present supplementary roundoff-error-free forward and backward substitution algorithms, thereby providing a complete tool set for solving systems of linear equations exactly and efficiently. An important property shared by the featured factorizations and substitution algorithms is that their individual coefficients' maximum word length-i.e., the maximum number of digits required for expression-is bounded polynomially. Unlike the rational arithmetic methods used in practice to solve linear systems exactly, however, the algorithms herein presented do not require any gcd calculations to bound the entries' word length. We also derive various other related theoretical results, including the total computational complexity of all the roundoff-error-free processes herein presented."
20,"Achieving Domain Consistency and Counting Solutions for Dispersion Constraints","Pesant, Gilles","INFORMS JOURNAL ON COMPUTING","27","4","690-703","2015","FAL","Combinatorial Optimization;Constraint Programming;Balance;Spread Constraint;Deviation Constraint;Filtering Algorithms;Branching Heuristics;Counting-Based Search","","Many combinatorial problems require that their solutions achieve a certain balance of given features. For this important aspect of modeling, the spread and deviation constraints have been proposed in Constraint Programming to express balance among a set of variables by constraining their mean and overall deviation from the mean. To our knowledge, the only practical filtering algorithms known for these constraints achieve bounds consistency. In this paper we improve that filtering by presenting an efficient domain consistency algorithm that applies to both constraints. We also extend it to count solutions so that it can be used in counting-based search, a generic and effective family of branching heuristics that free the user from having to write problem-specific search heuristics. We provide a time complexity analysis of our contributions and empirically evaluate them on benchmark problems."
21,"Cloud Computing in Space","Huang, Jiangchuan and Kirsch, Christoph M. and Sengupta, Raja","INFORMS JOURNAL ON COMPUTING","27","4","704-717","2015","FAL","Cloud Computing;Virtual Vehicle;Performance Isolation;Migration Gain","","We apply virtual machine abstractions to networked vehicles, enabling what we call cloud computing in space to create performance isolation between customers. In analogy to conventional system virtualization and cloud computing, there are customer-operated virtual vehicles that essentially perform like real vehicles, although they are in reality hosted by fewer, shared, provider-operated real vehicles. The motion of the virtual vehicles and real vehicles creates migration gain. As a result, cloud computing in space can do better than conventional cloud computing in the sense of realizing high performance isolation (e.g., 98%) while requiring significantly fewer real vehicles (e.g., approximately one for five). There is a video associated with this paper. Click here to view the Video Overview. To save the file, right click and choose Save Link As from the menu."
22,"Machine Learning Approaches for Early DRG Classification and Resource Allocation","Gartner, Daniel and Kolisch, Rainer and Neill, Daniel B. and Padman, Rema","INFORMS JOURNAL ON COMPUTING","27","4","718-734","2015","FAL","Machine Learning;Diagnosis-Related Groups;Attribute Selection;Classification;Mathematical Programming","","Recent research has highlighted the need for upstream planning in healthcare service delivery systems, patient scheduling, and resource allocation in the hospital inpatient setting. This study examines the value of upstream planning within hospital-wide resource allocation decisions based on machine learning (ML) and mixed-integer programming (MIP), focusing on prediction of diagnosis-related groups (DRGs) and the use of these predictions for allocating scarce hospital resources. DRGs are a payment scheme employed at patients' discharge, where the DRG and length of stay determine the revenue that the hospital obtains. We show that early and accurate DRG classification using ML methods, incorporated into an MIP-based resource allocation model, can increase the hospital's contribution margin, the number of admitted patients, and the utilization of resources such as operating rooms and beds. We test these methods on hospital data containing more than 16,000 inpatient records and demonstrate improved DRG classification accuracy as compared to the hospital's current approach. The largest improvements were observed at and before admission, when information such as procedures and diagnoses is typically incomplete, but performance was improved even after a substantial portion of the patient's length of stay, and under multiple scenarios making different assumptions about the available information. Using the improved DRG predictions within our resource allocation model improves contribution margin by 2.9% and the utilization of scarce resources such as operating rooms and beds from 66.3% to 67.3% and from 70.7% to 71.7%, respectively. This enables 9.0% more nonurgent elective patients to be admitted as compared to the baseline."
23,"A Criterion Space Search Algorithm for Biobjective Integer Programming: The Balanced Box Method","Boland, Natashia and Charkhgard, Hadi and Savelsbergh, Martin","INFORMS JOURNAL ON COMPUTING","27","4","735-754","2015","FAL","Biobjective Integer Programming;Criterion Space Search Algorithm;Balanced Box Method","","We present a new criterion space search algorithm, the balanced box method, for finding all nondominated points of a biobjective integer program. The method extends the box algorithm, is easy to implement, and converges quickly to the complete set of nondominated points. Because the method maintains, at any point in time, a diverse set of nondominated points, it is ideally suited for fast approximation of the efficient frontier. In addition, we present several enhancements of the well-known. epsilon-constraint, augmented weighted Tchebycheff, and perpendicular search methods. An extensive computational study, using instances from different classes of combinatorial optimization problems, demonstrates the efficacy of the balanced box method."
24,"A Progressive Hedging Approach for Surgery Planning Under Uncertainty","Gul, Serhat and Denton, Brian T. and Fowler, John W.","INFORMS JOURNAL ON COMPUTING","27","4","755-772","2015","FAL","Surgery Planning;Scheduling;Stochastic Programming;Progressive Hedging;Heuristics","","We propose a multistage stochastic mixed-integer programming formulation for the assignment of surgeries to operating rooms over a finite planning horizon. We consider the demand for and the duration of surgery to be random variables. The objective is to minimize three competing criteria: expected cost of surgery cancellations, patient waiting time, and operating room overtime. We discuss properties of the model and an implementation of the progressive hedging algorithm to find near-optimal surgery schedules. We conduct numerical experiments using data from a large hospital to identify managerial insights related to surgery planning and the avoidance of surgery cancellations. We compare the progressive hedging algorithm to an easy-to-implement heuristic for practical problem instances to estimate the value of the stochastic solution. Finally, we discuss an implementation of the progressive hedging algorithm within a rolling horizon framework for extended planning periods."
25,"Improved Primal Simplex: A More General Theoretical Framework and an Extended Experimental Analysis","Omer, Jeremy and Rosat, Samuel and Raymond, Vincent and Soumis, Francois","INFORMS JOURNAL ON COMPUTING","27","4","773-787","2015","FAL","Linear Programming;Simplex;Degeneracy;Decomposition;Primal Algorithms","","In this article, we propose a general framework for an algorithm derived from the primal simplex that guarantees a strict improvement in the objective after each iteration. Our approach relies on the identification of compatible variables that ensure a nondegenerate iteration if pivoted into the basis. The problem of finding a strict improvement in the objective function is proved to be equivalent to two smaller problems, respectively, focusing on compatible and incompatible variables. We then show that the improved primal simplex (IPS) is a particular implementation of this generic theoretical framework. The resulting new description of IPS naturally emphasizes what should be considered as necessary adaptations of the framework versus specific implementation choices. This provides original insight into IPS that allows for the identification of weaknesses and potential alternative choices that would extend the efficiency of the method to a wider set of problems. We perform experimental tests on an extended collection of data sets including instances of Mittelmann's benchmark for linear programming. The results confirm the excellent potential of IPS and highlight some of its limits while showing a path toward an improved implementation of the generic algorithm."
26,"Optimization of Radiation Therapy Fractionation Schedules in the Presence of Tumor Repopulation","Bortfeld, Thomas and Ramakrishnan, Jagdish and Tsitsiklis, John N. and Unkelbach, Jan","INFORMS JOURNAL ON COMPUTING","27","4","788-803","2015","FAL","Dynamic Programming: Applications;Healthcare: Treatment","","We analyze the effect of tumor repopulation on optimal dose delivery in radiation therapy. We are primarily motivated by accelerated tumor repopulation toward the end of radiation treatment, which is believed to play a role in treatment failure for some tumor sites. A dynamic programming framework is developed to determine an optimal fractionation scheme based on a model of cell kill from radiation and tumor growth in between treatment days. We find that faster tumor growth suggests shorter overall treatment duration. In addition, the presence of accelerated repopulation suggests larger dose fractions later in the treatment to compensate for the increased tumor proliferation. We prove that the optimal dose fractions are increasing over time. Numerical simulations indicate a potential for improvement in treatment effectiveness."
27,"Period Decompositions for the Capacitated Lot Sizing Problem with Setup Times","de Araujo, Silvio Alexandre and De Reyck, Bert and Degraeve, Zeger and Fragkos, Ioannis and Jans, Raf","INFORMS JOURNAL ON COMPUTING","27","3","431-448","2015","SUM","Lot Sizing;Column Generation;Lagrange Relaxation;Branch And Price;Heuristics","","We study the multi-item capacitated lot sizing problem with setup times. Based on two strong reformulations of the problem, we present a transformed reformulation and valid inequalities that speed up column generation and Lagrange relaxation. We demonstrate computationally how both ideas enhance the performance of our algorithm and show theoretically how they are related to dual space reduction techniques. We compare several solution methods and propose a new efficient hybrid scheme that combines column generation and Lagrange relaxation in a novel way. Computational experiments show that the proposed solution method for finding lower bounds is competitive with textbook approaches and state-of-the-art approaches found in the literature. Finally, we design a branch-and-price-based heuristic and report computational results. The heuristic scheme compares favorably or outperforms other approaches."
28,"Automatic Minimal-Height Table Layout","Bilauca, Mihai and Gange, Graeme and Healy, Patrick and Marriott, Kim and Moulder, Peter and Stuckey, Peter J.","INFORMS JOURNAL ON COMPUTING","27","3","449-461","2015","SUM","Automatic Table Layout;Constrained Optimization;Typography","","Automatic layout of tables is useful in word processing applications and is required in online applications because of the need to tailor the layout to viewport width, choice of font, and dynamic content. However, if the table contains text, minimizing the height of the table for a given maximum width is a difficult combinatorial optimization problem because of the need to find the right choice of height/width configuration for each cell in the table. We investigate the modelling decisions involved in formulating this problem for use with standard combinatorial optimization techniques that are guaranteed to find the minimal-height table. To the best of our knowledge, we are the first to do so. We provide a detailed empirical evaluation of the resulting models using mixed integer programming and constraint programming with lazy clause generation."
29,"Optimal Policies for Security Patch Management","Dey, Debabrata and Lahiri, Atanu and Zhang, Guoying","INFORMS JOURNAL ON COMPUTING","27","3","462-477","2015","SUM","Security;Vulnerability;Patching;Patching Policy;Exploitation Cost;Setup Cost;Disruption Cost","","Effective patch management is critical to ensure the security of information systems that modern organizations count on today. Facing numerous patch releases from vendors, an information technology (IT) manager must weigh the costs of frequent patching against the security risks that can arise from delays in patch application. To this end, we develop a rigorous quantitative framework to analyze and compare several patching policies that are of practical interest. Our analyses of pure policies-policies that rely on a single metric such as elapsed time or patch severity level-show that certain policies are never optimal and no single policy may fit all information systems uniformly well. Depending on the context parameters, particularly the setup and business disruption costs for patching, either a time-based approach or an approach based on the cumulative severity level may be effective. To develop a more complete guideline for policy selection, we decipher hybrid policies that combine multiple metrics. Finally, we conduct extensive numerical experiments to verify the robustness of our analytical results. Overall, our paper establishes a comprehensive framework for analyzing various patching policies and furnishes useful insights for IT managers."
