index,title,author,journal,volume,number,pages,year,month,keyword,keyword-plus,abstract
11,"A unified model of IT continuance: three complementary perspectives and crossover effects","Bhattacherjee, Anol and Lin, Chieh-Peng","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","4","364-373","2015","JUL","Disconfirmation;Perceived Performance;Satisfaction;Subjective Norm;Perceived Usefulness","","This study presents a unified model of information technology (IT) continuance, by drawing upon three alternative influences that are presumed to shape continuance behavior: reasoned action, experiential response, and habitual response. Using a longitudinal survey of workplace IT continuance among insurance agents at a large insurance company in Taiwan, we demonstrate that the above influences are interdependent, complementary, and have crossover effects. This study advances IT continuance research by theorizing and validating a unifying model that extends prior perspectives and by explaining interrelationships between these perspectives."
12,"Five-factor model personality traits as predictors of perceived and actual usage of technology","Barnett, Tim and Pearson, Allison W. and Pearson, Rodney and Kellermanns, Franz W.","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","4","374-390","2015","JUL","Personality;Five-Factor Model;Utaut;Tam;System Use;Individual Differences;Technology Acceptance;Technology Adoption","","Understanding the adoption and use of technology is extremely important in the field of information systems. Not surprisingly, there are several conceptual models that attempt to explain how and why individuals use technology. Until recently, however, the role of personality in general, and the five-factor model (FFM) of personality in particular, had remained largely unexplored. Our study takes an interactional psychology perspective, linking components of the FFM to the use of technology within the conceptual framework of the Unified Theory of Acceptance and Use of Technology (UTAUT). After empirically confirming previous research findings linking performance expectancy, effort expectancy, and social influence to technology use, we test direct relationships between FFM personality traits and technology use in the context of a web-based classroom technological system, utilizing measures of perceived and actual use of technology. Consistent with expectations, conscientiousness and neuroticism are associated with perceived and actual use of technology, with conscientiousness demonstrating a positive association with both perceived and actual use and neuroticism, a negative association. Extraversion was also significantly associated with actual use, although not in the positive direction expected. Further, the significant relationships between the personality traits and the actual use of technology were direct and not mediated by expressed intentions to use the system."
13,"The effect of online social value on satisfaction and continued use of social media","Hu, Tao and Kettinger, William J. and Poston, Robin S.","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","4","391-410","2015","JUL","Online Social Networking Service;Online Social Value;Social Media;Satisfaction;Continued Use;Services;Longitudinal Research;Social Exchange Theory","","Social media offers customers a unique service value proposition. Recognizing service value as a pivotal concept, this study develops an aggregate construct of online social value, whereby customers evaluate utilitarian and hedonic benefits relative to what they must sacrifice in effort and risk in deriving a value calculation of online social networking services which predicts satisfaction and continued use of online social media, such as Facebook. By empirically testing a model that explains online social value, this research contributes to information systems (IS) theory by introducing a customer value perspective in the social media context and helps service providers by identifying factors predicting satisfaction and continued use that might be employed to improve offerings to keep customers coming back."
14,"Examining the antecedents of user gratification and its effects on individuals' social network services usage: the moderating role of habit","Chiu, Chao-Min and Huang, Hsin-Yi","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","4","411-430","2015","JUL","Social Network Services;Media System Dependency Theory;Uses And Gratifications Theory;Habit;Continuance Intention","","User loyalty or continued use is critical to the survival and development of any website. Focusing on the social network services (SNSs) context, this study proposes a research model for investigating individuals' use motivations and the moderating role of habit with regard to gratification and continuance intention. This research integrates two influential media communication theories, media system dependency (MSD) and uses and gratifications, to examine SNSs-related behaviors. To comprehend online users' motivations in depth, three motivations derived from MSD (understanding, orientation and play dependency relations) are operationalized as reflective, second-order constructs. The three motivations are theorized to affect parasocial interaction positively, and parasocial interaction is hypothesized to positively affect the gratification that individuals derive from SNSs usage. Furthermore, this study hypothesizes that gratification positively affects individuals' continuance intention. Finally, we theorize that habit moderates the impact of gratification on continuance intention. Data collected from 657 Facebook users provide strong support for all six hypotheses. The results indicate that individuals' motivations (i.e., the understanding, orientation and play dependency relations) positively affect parasocial interaction, which in turn has a positive effect on gratification, and subsequently continuance intention. In addition, the results show that habit has a small but negative moderating effect on the relationship between gratification and continuance intention. Implications for theory and practice are discussed, and suggestions are made for future research."
15,"Quitting the use of a habituated hedonic information system: a theoretical model and empirical examination of Facebook users","Turel, Ofir","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","4","431-446","2015","JUL","Is Discontinuance;Quitting;Guilt;Technology Addiction;Social-Cognitive Theory;Social Networking Sites","","Much research has been devoted to the early adoption and the continued and habituated use of information systems (IS). Nevertheless, less is known about quitting the use of IS by individuals, especially in habituated hedonic settings, that is, IS discontinuance. This study focuses on this phenomenon, and argues that in hedonic IS use contexts (1) IS continuance and discontinuance can be considered simultaneously yet independently by current users, and that (2) IS continuance and discontinuance drivers can have differential effects on the respective behavioral intentions. Specifically, social cognitive theory is used to point to key unique drivers of website discontinuance intentions: guilt feelings regarding the use of the website and website-specific discontinuance self-efficacy, which counterbalance the effects of continuance drivers: habit and satisfaction. The distinctiveness of continuance and discontinuance intentions and their respective nomological networks, as well as the proposed research model, were then empirically validated in a study of 510 Facebook users. The findings indicate that satisfaction reduces discontinuance intentions directly and indirectly through habit formation. However, habit can also facilitate the development of 'addiction' to the use of the website, which produces guilt feelings and reduces one's self-efficacy to quit using the website. These factors, in turn, drive discontinuance intentions and possibly the quitting of the use of the website."
16,"The realignment of offshoring frame disputes (OFD): an ethnographic 'cultural' analysis","Ravishankar, M. N.","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","234-246","2015","MAY","Frame Disputes;Ethnography;Offshoring;Culture;India","","In Information Systems (IS) research on cross-cultural issues, cultural categories are typically introduced as analytical labels that explain why and how organizational groups in different parts of the world act and think differently. However, broad cultural categories can also be discursively mobilized by organizational members as strategic adaptive resources. Drawing on an ethnographic study of offshoring frame disputes (OFD) in an Indian subsidiary unit of a large Western information technology (IT) organization, this paper explores how members actively invoke a series of beliefs about Western culture and implicitly position them as the binary opposite of Eastern (or Indian) culture. The findings demonstrate how the mobilization of such beliefs eventually plays a vital role in the reconciliation of four different types of OFD. Drawing on this analysis, I build a social psychological process model that explains how frame extensions trigger a cognitive reorganization process, leading to the accomplishment of OFD realignment. The paper argues that discursively invoked binary cultural categories help maintain non-confrontational definitions of situations and sustain working relationships in IT offshoring environments. Furthermore, interpretations linked to cultural notions seem to reflexively take the offshore onshore power differentials into account."
17,"Toward a theory of perceived benefits, affective commitment, and continuance intention in social virtual worlds: cultural values (indulgence and individualism) matter","Zhou, Zhongyun and Jin, Xiao-Ling and Fang, Yulin and Vogel, Doug","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","247-261","2015","MAY","Social Virtual Worlds;Continuance Intention;Affective Commitment;Perceived Benefits;Indulgence;Individualism","","In this study we examine the contingent effects of two cultural values, indulgence and individualism, on the relationships between perceived benefits (utilitarian value, hedonic value, and relational capital), affective commitment, and continuance intention in social virtual worlds. We test our theoretical model in multi-group analyses using SmartPLS 2.0, based on a sample of 414 Second Life users from the U.S.A., Great Britain, and numerous other countries. By comparing the high- vs the low-indulgence subsamples, we find that indulgence weakens the effect of utilitarian value, but strengthens the effect of hedonic value, on affective commitment. Furthermore, compared with low-individualism users, the users with high-individualism showed a weaker effect of relational capital on affective commitment, as well as a weaker effect of affective commitment on continuance intention. The theoretical, empirical, and practical implications of these findings are also discussed."
18,"Knowledge sharing intention in the United States and China: a cross-cultural study","Chang, Yu-Wei and Hsu, Ping-Yu and Shiau, Wen-Lung and Tsai, Chung-Chih","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","262-277","2015","MAY","Knowledge Sharing;Social Exchange Theory;National Culture","","In today's knowledge-based economy, most of the knowledge-sharing studies have investigated the effects of cultural values at the national level. However, individual beliefs and behaviors might also be influenced and modified by individual cultural values. To understand the effects of cultural values, cultural effects at both the individual and country levels should be considered. This study is to investigate the integrative effects of the individual's and country's cultural values on knowledge sharing. We examine motivational factors affecting knowledge-sharing intentions based on social exchange theory and incorporate individualism/collectivism and uncertainty avoidance as moderators. On the basis of a survey of 394 employees conducted in the United States and China, the results show that rewards are significantly related to knowledge-sharing intentions for Chinese employees but not for American employees. Reciprocity and knowledge self-efficacy significantly impact knowledge-sharing intentions in the two countries. Our results also demonstrate that the individual's and country's cultural values play important roles in knowledge sharing. In the United States, individualism/collectivism is found to moderate the relationship between rewards and knowledge-sharing intentions. In China, individualism/collectivism is found to moderate the relationship between reputation and knowledge-sharing intentions, while uncertainty avoidance is found to moderate the relationship between knowledge self-efficacy and knowledge-sharing intentions."
19,"A legitimacy challenge of a cross-cultural interorganizational information system","Hsu, Carol and Lin, Yu-Tzu and Wang, Tawei","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","278-294","2015","MAY","Interorganizational Information System (Ios);Institutional Theory;Cross-Cultural Study;Interpretive Case Study","","This paper studies the adoption and diffusion of a cross-cultural Interorganizational Information System (IOS), which is used to streamline the processing of financial transactions between European investment fund companies and Taiwanese banks. Drawing from institutional and organizational legitimacy theory, we argue that the adoption and implementation of technological innovation is contingent upon its alignment with three institutional pillars in different countries and the deployment of legitimation strategies by stakeholders. Departing from classical innovation diffusion theory, our empirical investigation reveals that the implementation of a cross-cultural IOS is a dynamic process involving the recognition, understanding, and management of the regulative, normative, and cognitive challenges arising in two different institutional settings. This paper contributes to the growing body of research that highlights the significance of social and institutional influences on the adoption of IOS in a global environment."
20,"The effect of culture on requirements: a value-based view of prioritization","Tuunanen, Tuure and Kuo, I-Te","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","295-313","2015","MAY","Culture;Value Typology;Requirements Prioritization;Laddering Interviews;Mobile Service","","This paper examines how culture affects requirements and their prioritization. We analyze the requirements of a mobile service, which were collected from Helsinki, Hong Kong, and Las Vegas. We argue that the current prioritization techniques for requirements do not sufficiently account for the cultural effects, nor does the literature offer information on ways of prioritizing such requirements according to users' values. We see this as problematic because the literature suggests that culture should be viewed as a set of values. Our findings support the argument that we should use a value-based approach in prioritizing requirements. Furthermore, by focusing on the links between needs and values, we should be able to develop prioritization techniques not only for multicultural settings but also for information systems (IS) development projects that involve subcultures, such as adolescent users or members of specific organizations. Our findings show that this can be a powerful way of understanding the differences between various subcultures of IS users. In addition, we demonstrate how the laddering interviewing technique can be used to support this work. The proposed value-based requirements prioritization approach is also ready for industry applications and it is agnostic to the underlying IS development method used by developers."
21,"Cross-national differences in individual knowledge-seeking patterns: a climato-economic contextualization","Chen, Liwei and Hsieh, J. J. Po-An and Van de Vliert, Evert and Huang, Xu","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","314-336","2015","MAY","Cross-National Differences;Electronic Knowledge Repository;Is Use;Climato-Economic Theory","","Electronic Knowledge Repository (EKR) is one of the most commonly deployed knowledge management technologies, yet its success hinges upon employees' continued use and is further complicated in today's multinational context. We integrate multiple theoretical linkages into a research model, conceptualizing knowledge-seeking as an instrumental behavior, adopting the technology acceptance model to characterize the individual-level continued EKR knowledge-seeking behavioral model, and drawing on the climato-economic theory to explain cross-national behavioral differences. Using hierarchical linear modeling (HLM), we test the model with data from 1352 randomly sampled knowledge workers across 30 nations. We find that two national-level factors, climate harshness and national wealth, interactively moderate the individual-level relationship between perceived usefulness (PU) and behavioral intention (BI) to continue seeking knowledge from EKR, such that the difference in the strength of this relationship is larger between poor-harsh and poor-temperate nations than between rich-harsh and rich-temperate nations. We find similar cross-level cross-national differences for the link between perceived ease of use (PEOU) and PU but not for the link between PEOU and BI. Implications for research and practice are discussed."
22,"An espoused cultural perspective to understand continued intention to use mobile applications: a four-country study of mobile social media application usability","Hoehle, Hartmut and Zhang, Xiaojun and Venkatesh, Viswanath","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","3","337-359","2015","MAY","Culture;Espoused National Culture;Mobile Social Media Applications;Continued Intention To Use","","As most mobile applications are tailored for worldwide consumption, it is a significant challenge to develop applications that satisfy individuals with various cultural backgrounds. To address this issue, we drew on a recently developed conceptualization and associated instrument of mobile application usability to develop a model examining the impact of mobile social media application usability on continued intention to use. Drawing on Hofstede's five cultural values, we incorporated espoused cultural values of masculinity/femininity, individualism/collectivism, power distance, uncertainty avoidance, and longterm orientation into our model as moderators. To test the model, we collected data from 1,844 consumers in four countries - the U.S., Germany, China, and India who use mobile social media applications on their smartphones. The results provided support for the role of espoused national cultural values in moderating the impact of mobile social media application usability on continued intention to use and the model, with espoused cultural values explaining significantly more variance in continued intention to use (i.e., 38%) than the main effects-only model (i.e., 19%). Interestingly, our results demonstrated that culture at the national level did not play a significant role in affecting the relationship between usability constructs and continued intention to use, thus underscoring the importance of espoused culture."
23,"Learning to acquire: how serial acquirers build organisational knowledge for information systems integration","Henningsson, Stefan","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","2, SI","121-144","2015","MAR","Acquisition;Merger;Serial Acquirer;Information Systems Integration;It Integration;Knowledge-Based View","","This paper develops a knowledge-based model of information systems (IS) integration in acquisition-based growth programs. Previous research has found important differences in the acquirers' abilities for acquisition IS integration, and that these differences play key roles in explaining the economic benefits of acquisition-based growth. A knowledge-based view of acquisition IS integration contributes explanation to how differences in abilities arise. Our knowledge-based model is developed by an analytic induction approach, comprising both deductive and inductive analysis of the industry group Trelleborg. The analyses yield five propositions that explain the building of knowledge for acquisition IS integration by the mechanisms of routine refinement, superstitious learning, expertise building, sub-activity refinement and related expertise building. Together, the five propositions form a knowledge-based model of acquisition IS integration. The model suggests that 'serial acquirers' form the knowledge necessary for attending to an IS integration challenge over a series of heterogeneous acquisitions. Differences in acquirers' abilities for acquisition IS integration that depend on knowledge variations are therefore persistent and hard to overcome for the inexperienced acquirer."
24,"When IT capabilities are not scale-free in merger and acquisition integrations: how do capital markets react to IT capability asymmetries between acquirer and target?","Tanriverdi, Hueseyin and Uysal, Vahap Buelent","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","2, SI","145-158","2015","MAR","Corporate Mergers And Acquisitions;It Integration Capability;Performance;Value Creation;Event Study","","In mergers and acquisitions (M&A), a primary objective of acquirer is to integrate IT resources of the target with its own. IT M&A integration is assumed to create synergies, which in turn increase shareholder wealth by making the value of the merged firm greater than the sum of the standalone values of the two firms. In this study, we challenge this assumption and argue that IT M&A integration does not always lead to greater value creation. Prior research on IT M&A integrations indicates that IT resources are often not scale-free in M&A: that is, they do not transfer easily and costlessly from an acquirer to its target or vice versa. In fact, IT M&A integration can destroy value rather than create it when IT resources are not scale-free. We theorize about the contingencies under which IT M&A integration can create value for shareholders of acquirers. We test our hypotheses in a sample of 549 M&A transactions between 1998 and 2007. We find that, on average, capital markets react negatively with M&A announcements of acquirers whose IT capabilities are superior relative to those of the targets. The superiority of the acquirer's IT capabilities signals that the acquirer is likely to rip and replace IT resources of the target. This IT M&A integration approach increases risks of disruption to target's operations and revenue growth. Capital markets take such risks into account and reduce the stock price of the acquirer. One contingency that reduces the negative reactions of capital markets is industry relatedness of target. In a same-industry acquisition, an acquirer and its target have similar operating models, competitive dynamics, and regulatory context. Thus, ripping and replacing weaker IT resources of the target with superior IT resources of the acquirer creates expectations of more efficient operation, engenders positive stock price reactions, and increases shareholder wealth. Another contingency that reduces the negative reactions of capital markets is the acquirer's track record in profitable growth. A profitably growing acquirer that has superior IT capabilities increases the confidence of capital markets that it can minimize potential disruption risks of IT integration, continue its profitable growth pattern with newly acquired target, engender positive stock price reactions, and create shareholder wealth. These findings indicate that IT M&A integration does not always lead to greater value creation in M&A. The study makes a contribution by identifying the contingencies under which ITM&A integration creates wealth for acquirer's shareholders."
25,"The roles of contextual elements in post-merger common platform development: an empirical investigation","Jain, Radhika P. and Ramesh, Balasubramaniam","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","2, SI","159-177","2015","MAR","Post-Merger Integration;Duality Of Integration;Digital Platforms;Boundary Spanning","","With congeneric mergers, which involve firms with interrelated but not identical business lines that develop diverse products and services, a major challenge for organizations is the development of a common platform that fulfills similar business functions across multiple divisions. Through a field study of a post-merger common platform development initiative, we develop a framework that highlights how environmental and organizational contexts shape the process of common platform development (CPD). Our study provides an account of how the focal organization transitioned to a platform-based approach by achieving a balance between stable and flexible aspects of the common platform through negotiations among the divisions acquired through mergers and acquisitions. These negotiations were enabled through various boundary-spanning activities and the guided successive enrichment of boundary objects used in CPD process."
26,"Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009)","Busquets, Javier","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","2, SI","178-201","2015","MAR","Emergence And Evolution;Modular Complex Design Cross-Border M&A;Retail Banking;Ict Architecture;Ict Governance","","In this paper, we present the notion of discovery paths stemming from our study of the M&A between Grupo Santander (GS) and Abbey (2004-2009), in which the resulting synergies after the merger were 35% better than expected. In fact, GS achieved a unique level of efficiency in 2012 in the banking industry, which we consider a sign of radical novelty. During the M&A, the GS management decided to apply its customer-centric model through the transfer of the information and communication technology (ICT) platform Partenon. This unusual decision led to the endogenisation of critical ICT functions to scale up this model to Abbey. In the paper, we argue that while some steps that lead to synergies can be planned in advance, other essential variations are only learned and discovered during the M&A process itself, thus leading to emergent synergies. In the model presented, a discovery path explains the firm's evolution by sets of variations in the strategic interaction between the organisation and technology. These variations led to new design principles resulting from problem solving and modularity, which in turn led to (1) economies of scale and scope, (2) hybrid structures combining ICT and organisational knowledge domains that generate efficiency through fast integrations, and (3) organisational morphogenesis - that is, the creation of new organs such as ICT factories - which generates efficiency by avoiding diseconomies of scale by encapsulating the inherent complexity of technology and provides increasing returns."
27,"Knowledge-acquisitions and post-acquisition innovation performance: a comparative hazards model","Datta, Pratim and Roumani, Yaman","EUROPEAN JOURNAL OF INFORMATION SYSTEMS","24","2, SI","202-226","2015","MAR","Innovation Performance;Acquisitions;Innovation Knowledge;Hazards Model;Survival Analysis;Google And Yahoo","","Do acquisitions lead to instrumental innovations related to the acquired knowledge? Past arguments on vertical integration espouse how a quest for knowledge drives acquisitions culminating in innovation performance. Using Google and Yahoo as cases-in-point, we examine how facets of acquired innovation knowledge impact post-innovation performance. In particular, the apparently opposing fortunes of Google and Yahoo allow us to investigate the pace of their innovation performance as a hazards model. Results from our investigation highlight Google's ambidexterity over Yahoo with a swifter, systematic pace of innovation performance - from hastening time to patenting new ideas to the time to releasing new applications from acquisitions."
